Air Quality Station EoI Code,Longitude,Latitude,geometry,state,district,town_city
DENW071,6.7324,51.2492,POINT (6.7324 51.2492),Nordrhein-Westfalen,Düsseldorf,Düsseldorf
DEST072,12.0045,51.4853,POINT (12.0045 51.4853),Sachsen-Anhalt,Halle (Saale),Halle (Saale)
DEST073,12.2419,51.831,POINT (12.2419 51.831),Sachsen-Anhalt,Dessau-Roßlau,Dessau-Roßlau
DESN060,12.9305,50.8464,POINT (12.9305 50.8464),Sachsen,Chemnitz,Chemnitz
DENW066,6.1958,51.3269,POINT (6.1958 51.3269),Nordrhein-Westfalen,Viersen,Nettetal
DENW068,8.148,51.5707,POINT (8.148 51.5707),Nordrhein-Westfalen,Soest,Soest
DENW056,6.9888,50.9693,POINT (6.9888 50.9693),Nordrhein-Westfalen,Köln,Köln
DEST022,11.9784,51.4832,POINT (11.9784 51.4832),Sachsen-Anhalt,Halle (Saale),Halle (Saale)
DEST014,12.3217,51.623,POINT (12.3217 51.623),Sachsen-Anhalt,Anhalt-Bitterfeld,Bitterfeld-Wolfen
DEST068,12.3891,51.6294,POINT (12.3891 51.6294),Sachsen-Anhalt,Anhalt-Bitterfeld,Muldestausee
DESN019,12.5421,50.826,POINT (12.5421 50.826),Sachsen,Zwickau,Glauchau
DESN002,12.7023,50.5878,POINT (12.7023 50.5878),Sachsen,Erzgebirgskreis,Aue
DENW072,6.8012,51.2507,POINT (6.8012 51.2507),Nordrhein-Westfalen,Düsseldorf,Düsseldorf
DEST069,11.1739,52.8552,POINT (11.1739 52.8552),Sachsen-Anhalt,Altmarkkreis Salzwedel,Salzwedel
DEST070,11.1478,51.6572,POINT (11.1478 51.6572),Sachsen-Anhalt,Harz,Harzgerode
DENW078,6.8199,51.3034,POINT (6.8199 51.3034),Nordrhein-Westfalen,Mettmann,Ratingen
DESH027,10.1352,54.3047,POINT (10.1352 54.3047),Schleswig-Holstein,Kiel,Kiel
DETH075,11.5786,50.9248,POINT (11.5786 50.9248),Thüringen,Jena,Jena
