Air Quality Station EoI Code,Longitude,Latitude
DEBW015,9.2248,49.1655
DEBB064,14.3345,51.7468
DEMV002,12.1014,54.0939
DEMV003,13.2664,53.5598
DEHH058,9.9483,53.5605
DEBE062,13.2961,52.6533
DEHH069,10.0035,53.6007
DEBW037,8.4128,48.4721
DEHH075,10.1221,53.5188
DENW012,7.3584,51.4443
DENW013,7.5828,51.4477
DEBW002,8.3538,49.0091
DEBW020,8.2258,48.8537
DEBW027,9.2073,48.4889
DEBW103,8.754,49.4645
DEHE022,8.245,50.0503
DEBW105,7.7467,48.1937
DENW022,7.1019,51.5336
DEBW052,9.1693,47.6644
DEBY015,11.0173,49.5966
DEHE058,9.6822,50.5493
DEBE005,13.2881,52.587
DEHE017,8.7612,50.1022
DEBW028,9.6694,48.6992
DEBW057,9.207,48.0865
DEHE021,8.2431,50.0814
DEMV005,11.4089,53.6377
DEMV018,10.9298,53.5437
DEBE016,13.4045,52.4976
DEBW102,9.7544,47.9156
DEBY085,11.5172,48.1131
DEHH065,9.968,53.5836
DEHH071,10.1218,53.5191
DEBE014,13.2822,52.5174
DENI022,10.2463,52.3225
DEBW032,8.7051,48.8906
DEBW044,9.1514,49.3638
DEBY007,10.8884,48.3766
DEBW036,9.0585,48.5244
DEBW094,10.0347,47.6935
DEBB008,13.7101,51.6365
DEBB018,13.2462,52.7567
DEBW104,7.8105,48.068
DEBW107,9.0512,48.5077
DENI011,10.4736,52.2269
DEBW108,8.3227,49.0369
DEHB004,8.6255,53.1809
DENW038,6.8651,51.4535
DENW039,6.6535,51.3888
DEBY029,11.8744,48.9246
DEHE031,9.6985,50.5536
DENW011,7.498,51.4916
DEMV007,12.1741,54.1616
DEHH060,9.9819,53.5864
DEHH061,10.0354,53.5648
DENW004,7.3487,51.5932
DEHE045,9.002,49.6725
DEHE006,8.687,50.1179
DENW015,7.1227,51.699
DEBW087,9.2076,48.3458
DEBW097,7.8528,47.9983
DEHH052,9.9795,53.5689
DEHE060,9.0318,51.1548
DENW037,6.7875,51.4649
DENI001,9.7415,52.385
DENI017,10.4843,51.9148
DEBE057,13.5264,52.4821
DEHE035,9.4806,51.2989
DEHH020,10.0205,53.4909
DENW097,7.1838,51.2651
DENW008,7.4574,51.5369
DEBY046,11.5287,48.0981
DEST091,12.2448,51.8406
DENW025,6.9663,51.4585
DENI031,8.0906,53.5962
DENW044,6.7439,51.3181
DEBW045,8.8545,48.2748
DEBW100,9.1133,48.7301
DESN020,14.974,51.1558
DENW174,7.333,51.4343
DEST005,11.6421,52.1379
DEBB037,13.7923,52.4681
DERP006,8.4512,49.4757
DENW055,6.8789,50.9549
DEHH002,9.9611,53.5992
DENW009,7.5927,51.5242
DENW048,6.8592,51.1888
DEBW111,7.9378,48.4766
DEHH056,10.0639,53.5601
DEST050,11.9791,51.4962
DENW102,6.7359,51.4858
DESH007,10.1231,54.3198
DEHH051,10.0021,53.55
DENW018,7.1255,51.6004
DEST061,11.7281,52.0209
DEHH007,9.8999,53.5611
DEHH009,10.0281,53.5591
DEST078,11.8182,51.1566
DENW051,6.9764,51.0909
DENW030,6.6297,51.6729
DESN028,12.3776,51.3187
DEST025,11.9889,51.3565
DEBW005,8.4653,49.5441
DEBW004,8.4067,49.0765
DEST032,12.1573,52.4077
DESN048,12.3983,50.51
DEBW031,7.7645,47.8099
DEBB081,13.849,52.4976
DEBB084,14.6671,52.1796
DEBW013,9.2297,48.8088
DEBB085,14.3835,51.5345
DEBW081,8.3556,49.0286
DEBW084,7.8321,48.0015
DEBY054,11.1058,49.4771
DEBW118,9.191,48.7881
DEBY010,11.5758,49.9471
DEBY076,9.9359,49.7946
DEHB007,8.783,53.0667
DEBY116,11.0013,49.6026
DEHH008,9.9679,53.5641
DEMV006,13.0667,54.3067
DEHH078,9.9656,53.551
DENI072,10.0088,52.4465
DERP008,8.2546,50.0104
DERP018,8.435,49.3188
DESL010,6.9488,49.2442
DEST081,11.9744,51.2017
DEST063,11.8644,52.5985
DETH081,11.0104,50.9723
DEBY109,11.2202,47.9688
DEBY113,10.9635,49.6059
DEBY072,12.5489,49.4385
DEHB002,8.917,53.06
DEHB011,8.5988,53.5853
DEHE024,9.7746,51.2918
DEHE030,8.7693,50.8043
DEBY196,11.0572,47.4771
DEHE032,9.8003,50.97
DEBY121,12.1883,47.6485
DEBY079,12.8912,47.7334
DEBY189,11.4644,48.1817
DEHE028,8.8173,49.6535
DEBY187,10.5977,48.9522
DEBY188,11.0279,49.3227
DEBY123,11.0623,47.4832
DEBY124,10.325,49.4441
DEBY122,10.4366,47.5411
DEHE008,8.7463,50.1253
DEBY199,10.6254,49.5785
DEHE043,8.5168,49.8252
DEHE026,9.3994,50.1644
DEHE039,9.4594,50.7704
DEHE052,8.4461,50.2219
DEHE046,8.9282,51.4309
DEHE134,9.6802,50.5464
DEHE112,8.2289,50.0721
DEHE114,8.4619,49.602
DEHE136,8.6872,50.1124
DEHE051,9.9359,50.4977
DEHE137,8.6711,50.5853
DEHE144,8.6842,50.1094
DEHE146,8.6628,50.1043
DEHE098,8.0539,50.3845
DEHE101,8.0704,50.3831
DEHE099,8.0596,50.3862
DEHE100,8.0591,50.3876
DEHE102,8.7847,50.1014
DEHE105,8.4917,50.5751
DEHE103,8.776,50.1024
DEHE111,8.4244,49.9956
DEHE104,8.7728,50.1071
DEHH016,10.0817,53.529
DEHE132,8.6532,49.8694
DEHE133,8.6231,49.6827
DEHE162,8.6829,50.0814
DEHE169,8.0638,50.3872
DEHE138,8.6484,49.8654
DEHE140,8.7386,50.1314
DEHE142,8.77,50.8071
DEHE143,9.2704,50.7528
DEHE145,8.7326,50.1323
DEHE153,8.0981,50.1084
DEHE157,8.5497,50.1028
DEHE130,8.6555,49.8697
DEHH021,10.0836,53.4877
DEHE139,8.7307,50.1304
DEHE141,8.6825,50.1105
DEHE151,8.6735,50.1156
DEHE154,8.5372,50.1117
DEHE156,8.5397,50.1114
DEHE158,8.6639,50.1106
DEHH050,9.8572,53.4809
DEHE167,8.6951,50.0468
DEHE168,8.0664,50.3865
DEHE115,9.0422,49.8332
DEHH079,9.9448,53.5453
DEHH047,10.1106,53.6307
DEHH081,9.9816,53.5292
DEHH049,9.7862,53.5681
DEMV012,14.2574,53.5205
DEMV019,12.1755,53.7818
DEHH074,10.1028,53.5385
DEHH073,9.8327,53.5321
DEHH072,9.8441,53.536
DEHE113,8.4696,49.5931
DEMV017,11.3733,53.3074
DEHE163,8.7713,50.8173
DEMV026,13.3421,54.3235
DEMV021,12.08,54.1713
DEHE166,8.6952,50.0488
DEMV024,12.4639,53.3963
DEHE155,8.5353,50.1136
DEMV031,12.0979,54.1773
DEHE152,9.2718,50.7529
DEMV020,12.142,54.0923
DEMV027,13.7793,54.0532
DEMV060,13.2682,53.5461
DEHH083,10.1164,53.6828
DEHE165,8.6952,50.0512
DENI029,7.2073,53.3623
DENI043,7.3175,52.4986
DENI051,10.6125,51.7582
DENI058,7.214,53.7153
DENI053,7.9426,52.998
DEMV028,11.476,53.9023
DENI041,9.0626,52.1702
DENI059,8.8012,53.8302
DENI060,11.1671,52.957
DENI061,9.9503,52.1556
DENI062,10.4565,53.247
DENI063,9.685,53.5242
DEHH082,9.9614,53.6222
DENI077,9.5546,51.7088
DENI160,10.5,52.2705
DENI175,9.7154,52.3602
DENI176,9.7195,52.3488
DENI178,9.7551,52.3702
DENI152,9.7544,52.37
DENI153,9.7348,52.3927
DENW010,7.6938,51.5475
DENI146,8.047,52.2722
DENI172,8.1733,53.1374
