Air Quality Station EoI Code,Longitude,Latitude,geometry,state_x,district,town_city,Unnamed: 0,city,state_y,population
DEHE013,9.4834,51.3142,POINT (9.4834 51.3142),Hessen,Kassel (Kreisfreie Stadt),Kassel,40,Kassel,Hesse,"204,202"
DEBW109,8.3227,49.0367,POINT (8.3227 49.0367),Baden-Württemberg,Karlsruhe (Stadtkreis),Karlsruhe,22,Karlsruhe,Baden-Württemberg,"308,707"
DEBW012,9.1648,48.7759,POINT (9.1648 48.7759),Baden-Württemberg,Stuttgart,Stuttgart,6,Stuttgart,Baden-Württemberg,"632,865"
DEBW015,9.2248,49.1655,POINT (9.2248 49.1655),Baden-Württemberg,Heilbronn (Stadtkreis),Heilbronn,61,Heilbronn,Baden-Württemberg,"128,334"
DEMV002,12.1014,54.0939,POINT (12.1014 54.0939),Mecklenburg-Vorpommern,Rostock (Kreisfreie Stadt),Rostock,39,Rostock,Mecklenburg-Vorpommern,"209,920"
DEHH058,9.9483,53.5605,POINT (9.9483 53.5605),Hamburg,Hamburg,Hamburg,2,Hamburg,Hamburg,"1,892,122"
DEBE062,13.2961,52.6533,POINT (13.2961 52.6533),Berlin,Berlin,Berlin,1,Berlin,Berlin,"3,755,251"
DEHH069,10.0035,53.6007,POINT (10.0035 53.6007),Hamburg,Hamburg,Hamburg,2,Hamburg,Hamburg,"1,892,122"
DEHH075,10.1221,53.5188,POINT (10.1221 53.5188),Hamburg,Hamburg,Hamburg,2,Hamburg,Hamburg,"1,892,122"
DEBW002,8.3538,49.0091,POINT (8.3538 49.0091),Baden-Württemberg,Karlsruhe (Stadtkreis),Karlsruhe,22,Karlsruhe,Baden-Württemberg,"308,707"
DEBW027,9.2073,48.4889,POINT (9.2073 48.4889),Baden-Württemberg,Reutlingen,Reutlingen,67,Reutlingen,Baden-Württemberg,"117,547"
DEHE022,8.245,50.0503,POINT (8.245 50.0503),Hessen,Wiesbaden,Wiesbaden,24,Wiesbaden,Hesse,"283,083"
DENW022,7.1019,51.5336,POINT (7.1019 51.5336),Nordrhein-Westfalen,Gelsenkirchen,Gelsenkirchen,26,Gelsenkirchen,North Rhine-Westphalia,"263,000"
DEBY015,11.0173,49.5966,POINT (11.0173 49.5966),Bayern,Erlangen,Erlangen,68,Erlangen,Bavaria,"116,562"
DEBE005,13.2881,52.587,POINT (13.2881 52.587),Berlin,Berlin,Berlin,1,Berlin,Berlin,"3,755,251"
DEHE021,8.2431,50.0814,POINT (8.2431 50.0814),Hessen,Wiesbaden,Wiesbaden,24,Wiesbaden,Hesse,"283,083"
DEBE016,13.4045,52.4976,POINT (13.4045 52.4976),Berlin,Berlin,Berlin,1,Berlin,Berlin,"3,755,251"
DEHH065,9.968,53.5836,POINT (9.968 53.5836),Hamburg,Hamburg,Hamburg,2,Hamburg,Hamburg,"1,892,122"
DEHH071,10.1218,53.5191,POINT (10.1218 53.5191),Hamburg,Hamburg,Hamburg,2,Hamburg,Hamburg,"1,892,122"
DEBE014,13.2822,52.5174,POINT (13.2822 52.5174),Berlin,Berlin,Berlin,1,Berlin,Berlin,"3,755,251"
DEBW032,8.7051,48.8906,POINT (8.7051 48.8906),Baden-Württemberg,Pforzheim,Pforzheim,62,Pforzheim,Baden-Württemberg,"127,849"
DEBY007,10.8884,48.3766,POINT (10.8884 48.3766),Bayern,Augsburg (Kreisfreie Stadt),Augsburg,23,Augsburg,Bavaria,"301,033"
DENI011,10.4736,52.2269,POINT (10.4736 52.2269),Niedersachsen,Braunschweig,Braunschweig,28,Braunschweig,Lower Saxony,"251,804"
DEBW108,8.3227,49.0369,POINT (8.3227 49.0369),Baden-Württemberg,Karlsruhe (Stadtkreis),Karlsruhe,22,Karlsruhe,Baden-Württemberg,"308,707"
DEHB004,8.6255,53.1809,POINT (8.6255 53.1809),Bremen,Bremen,Bremen,11,Bremen,Free Hanseatic City of Bremen,"569,396"
DENW039,6.6535,51.3888,POINT (6.6535 51.3888),Nordrhein-Westfalen,Duisburg,Duisburg,15,Duisburg,North Rhine-Westphalia,"502,211"
DENW011,7.498,51.4916,POINT (7.498 51.4916),Nordrhein-Westfalen,Dortmund,Dortmund,9,Dortmund,North Rhine-Westphalia,"593,317"
DEHH060,9.9819,53.5864,POINT (9.9819 53.5864),Hamburg,Hamburg,Hamburg,2,Hamburg,Hamburg,"1,892,122"
DEHH061,10.0354,53.5648,POINT (10.0354 53.5648),Hamburg,Hamburg,Hamburg,2,Hamburg,Hamburg,"1,892,122"
DEHH052,9.9795,53.5689,POINT (9.9795 53.5689),Hamburg,Hamburg,Hamburg,2,Hamburg,Hamburg,"1,892,122"
DENW037,6.7875,51.4649,POINT (6.7875 51.4649),Nordrhein-Westfalen,Duisburg,Duisburg,15,Duisburg,North Rhine-Westphalia,"502,211"
DEBE057,13.5264,52.4821,POINT (13.5264 52.4821),Berlin,Berlin,Berlin,1,Berlin,Berlin,"3,755,251"
DEHE035,9.4806,51.2989,POINT (9.4806 51.2989),Hessen,Kassel (Kreisfreie Stadt),Kassel,40,Kassel,Hesse,"204,202"
DEHH020,10.0205,53.4909,POINT (10.0205 53.4909),Hamburg,Hamburg,Hamburg,2,Hamburg,Hamburg,"1,892,122"
DENW097,7.1838,51.2651,POINT (7.1838 51.2651),Nordrhein-Westfalen,Wuppertal,Wuppertal,17,Wuppertal,North Rhine-Westphalia,"358,876"
DENW008,7.4574,51.5369,POINT (7.4574 51.5369),Nordrhein-Westfalen,Dortmund,Dortmund,9,Dortmund,North Rhine-Westphalia,"593,317"
DENW025,6.9663,51.4585,POINT (6.9663 51.4585),Nordrhein-Westfalen,Essen,Essen,10,Essen,North Rhine-Westphalia,"584,580"
DENW044,6.7439,51.3181,POINT (6.7439 51.3181),Nordrhein-Westfalen,Düsseldorf,Düsseldorf,7,Düsseldorf,North Rhine-Westphalia,"629,047"
DEBW100,9.1133,48.7301,POINT (9.1133 48.7301),Baden-Württemberg,Stuttgart,Stuttgart,6,Stuttgart,Baden-Württemberg,"632,865"
DEST005,11.6421,52.1379,POINT (11.6421 52.1379),Sachsen-Anhalt,Magdeburg,Magdeburg,32,Magdeburg,Saxony-Anhalt,"239,364"
DEHH002,9.9611,53.5992,POINT (9.9611 53.5992),Hamburg,Hamburg,Hamburg,2,Hamburg,Hamburg,"1,892,122"
DENW009,7.5927,51.5242,POINT (7.5927 51.5242),Nordrhein-Westfalen,Dortmund,Dortmund,9,Dortmund,North Rhine-Westphalia,"593,317"
DENW048,6.8592,51.1888,POINT (6.8592 51.1888),Nordrhein-Westfalen,Düsseldorf,Düsseldorf,7,Düsseldorf,North Rhine-Westphalia,"629,047"
DEHH056,10.0639,53.5601,POINT (10.0639 53.5601),Hamburg,Hamburg,Hamburg,2,Hamburg,Hamburg,"1,892,122"
DENW102,6.7359,51.4858,POINT (6.7359 51.4858),Nordrhein-Westfalen,Duisburg,Duisburg,15,Duisburg,North Rhine-Westphalia,"502,211"
DESH007,10.1231,54.3198,POINT (10.1231 54.3198),Schleswig-Holstein,Kiel,Kiel,30,Kiel,Schleswig-Holstein,"247,717"
DEHH051,10.0021,53.55,POINT (10.0021 53.55),Hamburg,Hamburg,Hamburg,2,Hamburg,Hamburg,"1,892,122"
DEHH007,9.8999,53.5611,POINT (9.8999 53.5611),Hamburg,Hamburg,Hamburg,2,Hamburg,Hamburg,"1,892,122"
DEHH009,10.0281,53.5591,POINT (10.0281 53.5591),Hamburg,Hamburg,Hamburg,2,Hamburg,Hamburg,"1,892,122"
DESN028,12.3776,51.3187,POINT (12.3776 51.3187),Sachsen,Leipzig (Kreisfreie Stadt),Leipzig,8,Leipzig,Saxony,"616,093"
DEBW005,8.4653,49.5441,POINT (8.4653 49.5441),Baden-Württemberg,Mannheim,Mannheim,21,Mannheim,Baden-Württemberg,"315,554"
DEBW013,9.2297,48.8088,POINT (9.2297 48.8088),Baden-Württemberg,Stuttgart,Stuttgart,6,Stuttgart,Baden-Württemberg,"632,865"
