Ausgabe;Kreis;Kreisname;Amt;Amtsname;Gemeinde;Gemeindename;Wahlbezirke insg.;erf. Wahlbezirke;Wahlberechtigte;Waehler;Wahlbeteiligung;ungueltige Stimmen;gueltige Stimmen;CDU;SPD;PDS;FDP;GRÜNE;NPD;PBC;Agrarb�ndnis;AfR;AMB;AU;AJL;Bv-L�ndlicher Raum;Bv;B�ndnis 90;BBLR;BFR;BfB;BfS;BB UER;BG;BMV;BUMV;GRAUE;Die Sozialen;ok;FORUM;Freie W�hlergemeinschaft;F-UER;HGR;MUG;RB;SAV;UWG Bansin;UWG Tramm;WG Bauernverband;Bauern;WGGM;WGK;WGLR;WG Prohn;"WG ""Rettet Prerow""";UR;WG Wittenhagen;Einzelbewerber
A;51;Bad Doberan;5112;Carb�k;13051079;Thulendorf;1;1;443;240;54,2;12;681;220;152;108;157;14;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;17;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;13
P;51;Bad Doberan;5112;Carb�k;13051079;Thulendorf;1;1;443;240;54,2;1,7;98,3;32,3;22,3;15,9;23,1;2,1;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;2,5;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1,9
A;51;Bad Doberan;5114;Neubukow-Salzhaff;13051002;Alt Bukow;1;1;469;216;46,1;33;601;277;139;72;10;12;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;9;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;82
P;51;Bad Doberan;5114;Neubukow-Salzhaff;13051002;Alt Bukow;1;1;469;216;46,1;5,2;94,8;46,1;23,1;12;1,7;2;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1,5;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;13,6
A;51;Bad Doberan;5114;Neubukow-Salzhaff;13051007;Bastorf;1;1;934;417;44,6;75;1158;445;343;165;61;59;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;35;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;50
P;51;Bad Doberan;5114;Neubukow-Salzhaff;13051007;Bastorf;1;1;934;417;44,6;6,1;93,9;38,4;29,6;14,2;5,3;5,1;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;3;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;4,3
A;51;Bad Doberan;5114;Neubukow-Salzhaff;13051010;Biendorf;2;2;1102;428;38,8;72;1186;492;242;213;71;61;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;18;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;89
P;51;Bad Doberan;5114;Neubukow-Salzhaff;13051010;Biendorf;2;2;1102;428;38,8;5,7;94,3;41,5;20,4;18;6;5,1;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1,5;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;7,5
A;51;Bad Doberan;5114;Neubukow-Salzhaff;13051036;Kirch Mulsow;1;1;303;176;58,1;33;484;94;50;28;8;21;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;3;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;280
P;51;Bad Doberan;5114;Neubukow-Salzhaff;13051036;Kirch Mulsow;1;1;303;176;58,1;6,4;93,6;19,4;10,3;5,8;1,7;4,3;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,6;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;57,9
