Ausgabe;Kreis;Kreisname;Amt;Amtsname;Gemeinde;Gemeindename;Wahlbezirke insg.;erf. Wahlbezirke;Wahlberechtigte;Waehler;Wahlbeteiligung;ungueltige Stimmen;gueltige Stimmen;CDU;DIE LINKE;SPD;FDP;GRÜNE;NPD;ABLR;APD;AUF;Bauernverband;B�NDNIS F�R R�GEN;BfL;BfS;BG;Freie  W�hler;Freie W�hler;Freie W�hler MSP;Freie W�hler NWM;Freie W�hler SWM;FWG Jarmen;KfV;LUL;Die PARTEI;PIRATEN;RENTNER;UWG;WG BV-LR;WGLR;Adomeit;Einzelbewerber;
P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071751;Briefwahl Demmin-Land;1;1;0;383;0,0;2,4;97,6;36,4;20,1;20,5;5,1;11,0;2,5;x;x;x;x;x;x;x;x;x;x;0,6;x;x;x;x;x;x;x;x;x;x;3,8;x;0,1;
A;71;Mecklenburgische Seenplatte;5152;Friedland;13071028;Datzetal;2;2;774;367;47,4;57;1044;425;256;207;39;58;43;x;x;x;x;x;x;x;x;x;x;15;x;x;x;x;x;x;x;x;x;x;1;x;x;
P;71;Mecklenburgische Seenplatte;5152;Friedland;13071028;Datzetal;2;2;774;367;47,4;5,2;94,8;40,7;24,5;19,8;3,7;5,6;4,1;x;x;x;x;x;x;x;x;x;x;1,4;x;x;x;x;x;x;x;x;x;x;0,1;x;x;
A;71;Mecklenburgische Seenplatte;5152;Friedland;13071031;Eichhorst;1;1;425;169;39,8;7;477;214;102;99;18;10;19;x;x;x;x;x;x;x;x;x;x;12;x;x;x;x;x;x;x;x;x;x;3;x;x;
P;71;Mecklenburgische Seenplatte;5152;Friedland;13071031;Eichhorst;1;1;425;169;39,8;1,4;98,6;44,9;21,4;20,8;3,8;2,1;4,0;x;x;x;x;x;x;x;x;x;x;2,5;x;x;x;x;x;x;x;x;x;x;0,6;x;x;
A;71;Mecklenburgische Seenplatte;5152;Friedland;13071035;Friedland, Stadt;7;7;5628;2001;35,6;158;5568;2256;1072;1147;214;164;641;x;x;x;x;x;x;x;x;x;x;48;x;x;x;x;x;x;x;x;x;x;26;x;x;
P;71;Mecklenburgische Seenplatte;5152;Friedland;13071035;Friedland, Stadt;7;7;5628;2001;35,6;2,8;97,2;40,5;19,3;20,6;3,8;2,9;11,5;x;x;x;x;x;x;x;x;x;x;0,9;x;x;x;x;x;x;x;x;x;x;0,5;x;x;
A;71;Mecklenburgische Seenplatte;5152;Friedland;13071037;Galenbeck;3;3;1098;460;41,9;40;1323;417;235;455;51;38;104;x;x;x;x;x;x;x;x;x;x;12;x;x;x;x;x;x;x;x;x;x;11;x;x;
P;71;Mecklenburgische Seenplatte;5152;Friedland;13071037;Galenbeck;3;3;1098;460;41,9;2,9;97,1;31,5;17,8;34,4;3,9;2,9;7,9;x;x;x;x;x;x;x;x;x;x;0,9;x;x;x;x;x;x;x;x;x;x;0,8;x;x;
A;71;Mecklenburgische Seenplatte;5152;Friedland;13071038;Genzkow;1;1;126;70;55,6;15;190;45;48;63;4;10;18;x;x;x;x;x;x;x;x;x;x;1;x;x;x;x;x;x;x;x;x;x;1;x;x;
P;71;Mecklenburgische Seenplatte;5152;Friedland;13071038;Genzkow;1;1;126;70;55,6;7,3;92,7;23,7;25,3;33,2;2,1;5,3;9,5;x;x;x;x;x;x;x;x;x;x;0,5;x;x;x;x;x;x;x;x;x;x;0,5;x;x;
A;71;Mecklenburgische Seenplatte;5152;Friedland;13071040;Glienke;1;1;129;69;53,5;3;204;77;41;27;11;9;31;x;x;x;x;x;x;x;x;x;x;8;x;x;x;x;x;x;x;x;x;x;0;x;x;
P;71;Mecklenburgische Seenplatte;5152;Friedland;13071040;Glienke;1;1;129;69;53,5;1,4;98,6;37,7;20,1;13,2;5,4;4,4;15,2;x;x;x;x;x;x;x;x;x;x;3,9;x;x;x;x;x;x;x;x;x;x;0,0;x;x;
A;71;Mecklenburgische Seenplatte;5152;Friedland;13071752;Briefwahl Friedland;1;1;0;597;0,0;24;1765;780;363;370;81;63;69;x;x;x;x;x;x;x;x;x;x;25;x;x;x;x;x;x;x;x;x;x;14;x;x;
P;71;Mecklenburgische Seenplatte;5152;Friedland;13071752;Briefwahl Friedland;1;1;0;597;0,0;1,3;98,7;44,2;20,6;21,0;4,6;3,6;3,9;x;x;x;x;x;x;x;x;x;x;1,4;x;x;x;x;x;x;x;x;x;x;0,8;x;x;
A;71;Mecklenburgische Seenplatte;5153;Malchin am Kummerower See;13071007;Basedow;1;1;622;231;37,1;15;656;163;138;135;41;49;33;x;x;x;x;x;x;x;x;x;x;37;x;x;x;x;x;x;x;x;x;x;60;x;x;
P;71;Mecklenburgische Seenplatte;5153;Malchin am Kummerower See;13071007;Basedow;1;1;622;231;37,1;2,2;97,8;24,8;21,0;20,6;6,3;7,5;5,0;x;x;x;x;x;x;x;x;x;x;5,6;x;x;x;x;x;x;x;x;x;x;9,1;x;x;
A;71;Mecklenburgische Seenplatte;5153;Malchin am Kummerower See;13071030;Duckow;1;1;210;84;40,0;6;240;105;54;23;17;16;16;x;x;x;x;x;x;x;x;x;x;9;x;x;x;x;x;x;x;x;x;x;0;x;x;
P;71;Mecklenburgische Seenplatte;5153;Malchin am Kummerower See;13071030;Duckow;1;1;210;84;40,0;2,4;97,6;43,8;22,5;9,6;7,1;6,7;6,7;x;x;x;x;x;x;x;x;x;x;3,8;x;x;x;x;x;x;x;x;x;x;0,0;x;x;
A;71;Mecklenburgische Seenplatte;5153;Malchin am Kummerower See;13071032;Faulenrost;1;1;609;284;46,6;9;790;288;169;149;24;34;30;x;x;x;x;x;x;x;x;x;x;44;x;x;x;x;x;x;x;x;x;x;52;x;x;
P;71;Mecklenburgische Seenplatte;5153;Malchin am Kummerower See;13071032;Faulenrost;1;1;609;284;46,6;1,1;98,9;36,5;21,4;18,9;3,0;4,3;3,8;x;x;x;x;x;x;x;x;x;x;5,6;x;x;x;x;x;x;x;x;x;x;6,6;x;x;
A;71;Mecklenburgische Seenplatte;5153;Malchin am Kummerower See;13071039;Gielow;1;1;1044;438;42,0;14;1222;515;216;260;47;28;55;x;x;x;x;x;x;x;x;x;x;39;x;x;x;x;x;x;x;x;x;x;62;x;x;
P;71;Mecklenburgische Seenplatte;5153;Malchin am Kummerower See;13071039;Gielow;1;1;1044;438;42,0;1,1;98,9;42,1;17,7;21,3;3,8;2,3;4,5;x;x;x;x;x;x;x;x;x;x;3,2;x;x;x;x;x;x;x;x;x;x;5,1;x;x;
A;71;Mecklenburgische Seenplatte;5153;Malchin am Kummerower See;13071084;Kummerow;1;1;535;239;44,7;3;694;209;116;172;27;18;45;x;x;x;x;x;x;x;x;x;x;90;x;x;x;x;x;x;x;x;x;x;17;x;x;
P;71;Mecklenburgische Seenplatte;5153;Malchin am Kummerower See;13071084;Kummerow;1;1;535;239;44,7;0,4;99,6;30,1;16,7;24,8;3,9;2,6;6,5;x;x;x;x;x;x;x;x;x;x;13,0;x;x;x;x;x;x;x;x;x;x;2,4;x;x;
A;71;Mecklenburgische Seenplatte;5153;Malchin am Kummerower See;13071092;Malchin, Stadt;8;8;6908;2513;36,4;138;7100;1920;1562;1723;383;265;463;x;x;x;x;x;x;x;x;x;x;710;x;x;x;x;x;x;x;x;x;x;74;x;x;
P;71;Mecklenburgische Seenplatte;5153;Malchin am Kummerower See;13071092;Malchin, Stadt;8;8;6908;2513;36,4;1,9;98,1;27,0;22,0;24,3;5,4;3,7;6,5;x;x;x;x;x;x;x;x;x;x;10,0;x;x;x;x;x;x;x;x;x;x;1,0;x;x;
A;71;Mecklenburgische Seenplatte;5153;Malchin am Kummerower See;13071109;Neukalen, Stadt;2;2;1686;758;45,0;43;2081;1417;193;197;92;81;54;x;x;x;x;x;x;x;x;x;x;32;x;x;x;x;x;x;x;x;x;x;15;x;x;
P;71;Mecklenburgische Seenplatte;5153;Malchin am Kummerower See;13071109;Neukalen, Stadt;2;2;1686;758;45,0;2,0;98,0;68,1;9,3;9,5;4,4;3,9;2,6;x;x;x;x;x;x;x;x;x;x;1,5;x;x;x;x;x;x;x;x;x;x;0,7;x;x;
A;71;Mecklenburgische Seenplatte;5153;Malchin am Kummerower See;13071753;Briefwahl Malchin am Kummerower See;2;2;0;1183;0,0;57;3378;1168;747;648;280;90;46;x;x;x;x;x;x;x;x;x;x;283;x;x;x;x;x;x;x;x;x;x;116;x;x;
P;71;Mecklenburgische Seenplatte;5153;Malchin am Kummerower See;13071753;Briefwahl Malchin am Kummerower See;2;2;0;1183;0,0;1,7;98,3;34,6;22,1;19,2;8,3;2,7;1,4;x;x;x;x;x;x;x;x;x;x;8,4;x;x;x;x;x;x;x;x;x;x;3,4;x;x;
A;71;Mecklenburgische Seenplatte;5154;Malchow;13071001;Alt Schwerin;1;1;487;197;40,5;33;551;136;80;147;32;49;39;x;x;x;x;x;x;x;x;x;x;66;x;x;x;x;x;x;x;x;x;x;2;x;x;
P;71;Mecklenburgische Seenplatte;5154;Malchow;13071001;Alt Schwerin;1;1;487;197;40,5;5,7;94,3;24,7;14,5;26,7;5,8;8,9;7,1;x;x;x;x;x;x;x;x;x;x;12,0;x;x;x;x;x;x;x;x;x;x;0,4;x;x;
A;71;Mecklenburgische Seenplatte;5154;Malchow;13071036;F�nfseen;3;3;991;421;42,5;73;1187;303;166;331;40;97;78;x;x;x;x;x;x;x;x;x;x;172;x;x;x;x;x;x;x;x;x;x;0;x;x;
P;71;Mecklenburgische Seenplatte;5154;Malchow;13071036;F�nfseen;3;3;991;421;42,5;5,8;94,2;25,5;14,0;27,9;3,4;8,2;6,6;x;x;x;x;x;x;x;x;x;x;14,5;x;x;x;x;x;x;x;x;x;x;0,0;x;x;
A;71;Mecklenburgische Seenplatte;5154;Malchow;13071043;G�hren-Lebbin;1;1;531;206;38,8;3;551;138;69;154;56;56;9;x;x;x;x;x;x;x;x;x;x;69;x;x;x;x;x;x;x;x;x;x;0;x;x;
P;71;Mecklenburgische Seenplatte;5154;Malchow;13071043;G�hren-Lebbin;1;1;531;206;38,8;0,5;99,5;25,0;12,5;27,9;10,2;10,2;1,6;x;x;x;x;x;x;x;x;x;x;12,5;x;x;x;x;x;x;x;x;x;x;0,0;x;x;
A;71;Mecklenburgische Seenplatte;5154;Malchow;13071093;Malchow, Stadt;6;6;5806;2245;38,7;222;6316;1212;1277;1468;275;1275;410;x;x;x;x;x;x;x;x;x;x;383;x;x;x;x;x;x;x;x;x;x;16;x;x;
P;71;Mecklenburgische Seenplatte;5154;Malchow;13071093;Malchow, Stadt;6;6;5806;2245;38,7;3,4;96,6;19,2;20,2;23,2;4,4;20,2;6,5;x;x;x;x;x;x;x;x;x;x;6,1;x;x;x;x;x;x;x;x;x;x;0,3;x;x;
A;71;Mecklenburgische Seenplatte;5154;Malchow;13071113;Nossentiner H�tte;1;1;586;268;45,7;12;768;67;118;93;28;36;8;x;x;x;x;x;x;x;x;x;x;418;x;x;x;x;x;x;x;x;x;x;0;x;x;
P;71;Mecklenburgische Seenplatte;5154;Malchow;13071113;Nossentiner H�tte;1;1;586;268;45,7;1,5;98,5;8,7;15,4;12,1;3,6;4,7;1,0;x;x;x;x;x;x;x;x;x;x;54,4;x;x;x;x;x;x;x;x;x;x;0,0;x;x;
A;71;Mecklenburgische Seenplatte;5154;Malchow;13071114;Penkow;1;1;249;97;39,0;24;258;53;50;53;12;29;20;x;x;x;x;x;x;x;x;x;x;36;x;x;x;x;x;x;x;x;x;x;5;x;x;
P;71;Mecklenburgische Seenplatte;5154;Malchow;13071114;Penkow;1;1;249;97;39,0;8,5;91,5;20,5;19,4;20,5;4,7;11,2;7,8;x;x;x;x;x;x;x;x;x;x;14,0;x;x;x;x;x;x;x;x;x;x;1,9;x;x;
A;71;Mecklenburgische Seenplatte;5154;Malchow;13071138;Silz;1;1;305;170;55,7;24;478;85;71;101;24;30;1;x;x;x;x;x;x;x;x;x;x;165;x;x;x;x;x;x;x;x;x;x;1;x;x;
P;71;Mecklenburgische Seenplatte;5154;Malchow;13071138;Silz;1;1;305;170;55,7;4,8;95,2;17,8;14,9;21,1;5,0;6,3;0,2;x;x;x;x;x;x;x;x;x;x;34,5;x;x;x;x;x;x;x;x;x;x;0,2;x;x;
A;71;Mecklenburgische Seenplatte;5154;Malchow;13071155;Walow;1;1;437;179;41,0;12;470;126;114;104;20;58;15;x;x;x;x;x;x;x;x;x;x;33;x;x;x;x;x;x;x;x;x;x;0;x;x;
P;71;Mecklenburgische Seenplatte;5154;Malchow;13071155;Walow;1;1;437;179;41,0;2,5;97,5;26,8;24,3;22,1;4,3;12,3;3,2;x;x;x;x;x;x;x;x;x;x;7,0;x;x;x;x;x;x;x;x;x;x;0,0;x;x;
A;71;Mecklenburgische Seenplatte;5154;Malchow;13071171;Zislow;1;1;183;103;56,3;7;302;98;21;105;17;35;18;x;x;x;x;x;x;x;x;x;x;8;x;x;x;x;x;x;x;x;x;x;0;x;x;
P;71;Mecklenburgische Seenplatte;5154;Malchow;13071171;Zislow;1;1;183;103;56,3;2,3;97,7;32,5;7,0;34,8;5,6;11,6;6,0;x;x;x;x;x;x;x;x;x;x;2,6;x;x;x;x;x;x;x;x;x;x;0,0;x;x;
A;71;Mecklenburgische Seenplatte;5154;Malchow;13071754;Briefwahl Malchow;2;2;0;477;0,0;24;1400;253;261;299;72;322;16;x;x;x;x;x;x;x;x;x;x;170;x;x;x;x;x;x;x;x;x;x;7;x;x;
P;71;Mecklenburgische Seenplatte;5154;Malchow;13071754;Briefwahl Malchow;2;2;0;477;0,0;1,7;98,3;18,1;18,6;21,4;5,1;23,0;1,1;x;x;x;x;x;x;x;x;x;x;12,1;x;x;x;x;x;x;x;x;x;x;0,5;x;x;
A;71;Mecklenburgische Seenplatte;5155;Mecklenburgische Kleinseenplatte;13071099;Mirow, Stadt;3;3;3193;1228;38,5;135;3405;712;500;1066;746;183;130;x;x;x;x;x;x;x;x;x;x;62;x;x;x;x;x;x;x;x;x;x;6;x;x;
