Air Quality Station EoI Code,Air Pollutant,Year,Air Pollution Level,Unit Of Air Pollution Level,Air Quality Station Type,Air Quality Station Area,State,District,City,Normalized Pollution Level
DEBB021,NO2,2021,13.125,ug/m3,Background,Urban,BB,Potsdam,Potsdam,0.2527818519604967
DEBB021,NO2,2024,9.468,ug/m3,Background,Urban,BB,Potsdam,Potsdam,0.19651215281902637
DEBB063,NO2,2022,7.773,ug/m3,Background,Suburban,BB,Prignitz,Wittenberge,0.1355957102982224
DEBW009,NO2,2016,24.628,ug/m3,Background,Urban,BW,Heidelberg,Heidelberg,0.2825156155551078
DEBB109,NO2,2021,11.432,ug/m3,Background,Urban,BB,Teltow-Fläming,Luckenwalde,0.21967341351324923
DEBB063,NO2,2018,9.221,ug/m3,Background,Suburban,BB,Prignitz,Wittenberge,0.10295852816501332
DEBE064,NO2,2014,51.793,ug/m3,Traffic,Urban,BE,Berlin,Berlin,0.5713370752497846
DEBB110,NO2,2020,10.873,ug/m3,Background,Suburban,BB,Havelland,Dallgow-Döberitz,0.179228912026558
DEBB110,NO2,2019,11.409,ug/m3,Background,Suburban,BB,Havelland,Dallgow-Döberitz,0.15835041403623842
DEBB110,NO2,2023,8.336,ug/m3,Background,Suburban,BB,Havelland,Dallgow-Döberitz,0.17297224948692783
DEBW015,NO2,2013,30.693,ug/m3,Background,Urban,BW,Heilbronn (Stadtkreis),Heilbronn,0.32570801063460875
DEBE063,NO2,2023,31.773,ug/m3,Traffic,Urban,BE,Berlin,Berlin,0.6957928080663871
DEBW015,NO2,2016,28.841,ug/m3,Background,Urban,BW,Heilbronn (Stadtkreis),Heilbronn,0.3355707233528108
DEBW015,NO2,2017,25.869,ug/m3,Background,Urban,BW,Heilbronn (Stadtkreis),Heilbronn,0.31308786192562194
DEBW015,NO2,2022,18.77,ug/m3,Background,Urban,BW,Heilbronn (Stadtkreis),Heilbronn,0.36638754223593356
DEBB065,NO2,2016,7.117,ug/m3,Background,Rural,BB,Potsdam-Mittelmark,Bad Belzig,0.06199627241587749
DEBB065,NO2,2017,6.569,ug/m3,Background,Rural,BB,Potsdam-Mittelmark,Bad Belzig,0.05919728481786969
DEBB021,NO2,2017,15.052,ug/m3,Background,Urban,BB,Potsdam,Potsdam,0.17079074417564494
DEBB021,NO2,2022,12.997,ug/m3,Background,Urban,BB,Potsdam,Potsdam,0.24523074985833912
DEBE032,NO2,2014,14.242,ug/m3,Background,Rural,BE,Berlin,Berlin,0.13405687402473393
DEBE032,NO2,2016,14.33,ug/m3,Background,Rural,BE,Berlin,Berlin,0.15283094902276848
DEBE127,NO2,2023,28.642,ug/m3,Traffic,Urban,BE,Berlin,Berlin,0.6259480681716785
DEBE127,NO2,2024,26.824,ug/m3,Traffic,Urban,BE,Berlin,Berlin,0.6088764285205162
DEBB007,NO2,2013,14.413,ug/m3,Background,Suburban,BB,Elbe-Elster,Elsterwerda,0.13752167379493702
DEBB007,NO2,2015,13.59,ug/m3,Background,Suburban,BB,Elbe-Elster,Elsterwerda,0.13062366454567992
DEBB054,NO2,2013,44.14,ug/m3,Traffic,Urban,BB,Potsdam,Potsdam,0.4811466882441337
