"Ergebnisse der Wahl der Stadtverordnetenversammlungen (SVV) in den kreisfreien Städten
sowie der Wahl der Vertretungen der kreisangehörigen Städte und Gemeinden
am 26. September 2003 im Land Brandenburg",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,LV,Listenvereingung
"Kreisfreie Stadt
bzw.
Landkreis",AGS,Gemeindename,"Wahlberechtigte
insgesamt",Wähler,,Ungültige Stimmzettel,Gültige Stimmen,Sitze,,,Verteilung der gültigen Stimmen und Sitze,,,,,,WG,Wählergemeinschaft
,,,,insgesamt,mit Wahlschein,,,insgesamt,weiblich,"Unions-
bürger",Wahlvorschlagsträger,Art,Stimmen,Sitze,Sitze weiblich,"Sitze
Unions-
bürger",EB,Einzelbewerber
,,,,,,,,,,,,,,,,,PV,Politische Vereinigung
,,,A,B,B1,C,D,E,E1,E2,,,,,,,,
,,,,,,,,,,,,,,,,,,
Barnim               ,12060068,Friedrichswalde              ,797,509,15,24,1434,10,1,x,Einzelbewerber           ,EB,903,6,1,x,,
Barnim               ,12060092,Hohenfinow                   ,449,258,0,5,754,8,2,x,Wählergruppen            ,WG,688,7,2,x,,
Barnim               ,12060092,Hohenfinow                   ,449,258,0,5,754,8,2,x,Einzelbewerber           ,EB,66,1,0,x,,
Barnim               ,12060096,Hohensaaten                  ,735,507,0,18,1464,10,3,x,SPD                      ,PA,464,3,0,x,,
Barnim               ,12060096,Hohensaaten                  ,735,507,0,18,1464,10,3,x,FDP                      ,PA,336,2,0,x,,
Barnim               ,12060096,Hohensaaten                  ,735,507,0,18,1464,10,3,x,Wählergruppen            ,WG,664,5,3,x,,
Barnim               ,12060100,Joachimsthal                 ,2904,1193,141,83,3270,16,3,x,CDU                      ,PA,683,3,1,x,,
Barnim               ,12060100,Joachimsthal                 ,2904,1193,141,83,3270,16,3,x,SPD                      ,PA,369,2,0,x,,
Barnim               ,12060100,Joachimsthal                 ,2904,1193,141,83,3270,16,3,x,PDS                      ,PA,609,3,1,x,,
Barnim               ,12060100,Joachimsthal                 ,2904,1193,141,83,3270,16,3,x,FDP                      ,PA,339,2,1,x,,
Barnim               ,12060100,Joachimsthal                 ,2904,1193,141,83,3270,16,3,x,Wählergruppen            ,WG,1009,5,0,x,,
Barnim               ,12060100,Joachimsthal                 ,2904,1193,141,83,3270,16,3,x,Einzelbewerber           ,EB,261,1,0,x,,
Barnim               ,12060128,Liepe                        ,654,449,0,11,1306,10,1,x,Wählergruppen            ,WG,1306,10,1,x,,
Barnim               ,12060149,Lunow-Stolzenhagen           ,1123,639,0,14,1864,10,2,x,Wählergruppen            ,WG,1639,9,1,x,,
Barnim               ,12060149,Lunow-Stolzenhagen           ,1123,639,0,14,1864,10,2,x,Einzelbewerber           ,EB,225,1,1,x,,
Barnim               ,12060154,Marienwerder                 ,1449,873,0,31,2485,12,1,x,Wählergruppen            ,WG,2267,11,1,x,,
Barnim               ,12060154,Marienwerder                 ,1449,873,0,31,2485,12,1,x,Einzelbewerber           ,EB,218,1,0,x,,
Barnim               ,12060161,Melchow                      ,908,541,0,23,1539,10,3,x,Wählergruppen            ,WG,1365,9,3,x,,
Barnim               ,12060161,Melchow                      ,908,541,0,23,1539,10,3,x,Einzelbewerber           ,EB,174,1,0,x,,
Barnim               ,12060172,Niederfinow                  ,532,296,0,24,802,8,2,x,Wählergruppen            ,WG,802,8,2,x,,
Barnim               ,12060176,Oderberg                     ,2261,1077,0,23,3123,16,4,x,CDU                      ,PA,411,2,0,x,,
Barnim               ,12060176,Oderberg                     ,2261,1077,0,23,3123,16,4,x,SPD                      ,PA,1067,6,3,x,,
Barnim               ,12060176,Oderberg                     ,2261,1077,0,23,3123,16,4,x,PDS                      ,PA,352,2,1,x,,
Barnim               ,12060176,Oderberg                     ,2261,1077,0,23,3123,16,4,x,FDP                      ,PA,175,1,0,x,,
Barnim               ,12060176,Oderberg                     ,2261,1077,0,23,3123,16,4,x,Wählergruppen            ,WG,1118,5,0,x,,
Barnim               ,12060181,Panketal                     ,15008,7073,9,202,20083,28,5,x,CDU                      ,PA,5527,8,1,x,,
Barnim               ,12060181,Panketal                     ,15008,7073,9,202,20083,28,5,x,SPD                      ,PA,5662,8,1,x,,
Barnim               ,12060181,Panketal                     ,15008,7073,9,202,20083,28,5,x,PDS                      ,PA,4514,6,2,x,,
Barnim               ,12060181,Panketal                     ,15008,7073,9,202,20083,28,5,x,FDP                      ,PA,517,1,0,x,,
Barnim               ,12060181,Panketal                     ,15008,7073,9,202,20083,28,5,x,GRÜNE/B 90               ,PA,1207,2,0,x,,
Barnim               ,12060181,Panketal                     ,15008,7073,9,202,20083,28,5,x,Wählergruppen            ,WG,2412,3,1,x,,
Barnim               ,12060181,Panketal                     ,15008,7073,9,202,20083,28,5,x,Einzelbewerber           ,EB,244,0,0,x,,
Barnim               ,12060185,Parsteinsee                  ,481,289,0,11,824,8,2,x,Wählergruppen            ,WG,775,7,2,x,,
Barnim               ,12060185,Parsteinsee                  ,481,289,0,11,824,8,2,x,Einzelbewerber           ,EB,49,1,0,x,,
Barnim               ,12060192,Rüdnitz                      ,1658,718,0,17,2026,12,2,x,SPD                      ,PA,668,4,1,x,,
Barnim               ,12060192,Rüdnitz                      ,1658,718,0,17,2026,12,2,x,Wählergruppen            ,WG,1358,8,1,x,,
Barnim               ,12060198,Schorfheide                  ,8753,4567,358,160,13086,33,7,x,CDU                      ,PA,1600,4,1,x,,
Barnim               ,12060198,Schorfheide                  ,8753,4567,358,160,13086,33,7,x,SPD                      ,PA,1451,4,0,x,,
Barnim               ,12060198,Schorfheide                  ,8753,4567,358,160,13086,33,7,x,PDS                      ,PA,1941,5,2,x,,
Barnim               ,12060198,Schorfheide                  ,8753,4567,358,160,13086,33,7,x,FDP                      ,PA,226,0,0,x,,
Barnim               ,12060198,Schorfheide                  ,8753,4567,358,160,13086,33,7,x,Wählergruppen            ,WG,3259,8,2,x,,
Barnim               ,12060198,Schorfheide                  ,8753,4567,358,160,13086,33,7,x,Bündnis Schorfheide      ,PV,4609,12,2,x,,
Barnim               ,12060250,Sydower Fließ                ,733,421,0,27,1167,10,1,x,Wählergruppen            ,WG,1167,10,1,x,,
Barnim               ,12060269,Wandlitz                     ,15859,7687,0,241,21862,28,5,x,CDU                      ,PA,5115,6,0,x,,
Barnim               ,12060269,Wandlitz                     ,15859,7687,0,241,21862,28,5,x,SPD                      ,PA,6008,8,1,x,,
Barnim               ,12060269,Wandlitz                     ,15859,7687,0,241,21862,28,5,x,PDS                      ,PA,4918,6,3,x,,
Barnim               ,12060269,Wandlitz                     ,15859,7687,0,241,21862,28,5,x,FDP                      ,PA,333,0,0,x,,
Barnim               ,12060269,Wandlitz                     ,15859,7687,0,241,21862,28,5,x,GRÜNE/B 90               ,PA,485,1,1,x,,
Barnim               ,12060269,Wandlitz                     ,15859,7687,0,241,21862,28,5,x,Wählergruppen            ,WG,625,1,0,x,,
Barnim               ,12060269,Wandlitz                     ,15859,7687,0,241,21862,28,5,x,Listenvereinigungen      ,LV,3757,5,0,x,,
Barnim               ,12060269,Wandlitz                     ,15859,7687,0,241,21862,28,5,x,Schill                   ,PA,621,1,0,x,,
Barnim               ,12060280,Werneuchen                   ,6125,3309,0,94,9467,18,4,x,CDU                      ,PA,1404,3,1,x,,
