"Ergebnisse der Wahl der Stadtverordnetenversammlungen (SVV) in den kreisfreien Städten
sowie der Wahl der Vertretungen der kreisangehörigen Städte und Gemeinden
am 26. September 2003 im Land Brandenburg",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,LV,Listenvereingung
"Kreisfreie Stadt
bzw.
Landkreis",AGS,Gemeindename,"Wahlberechtigte
insgesamt",Wähler,,Ungültige Stimmzettel,Gültige Stimmen,Sitze,,,Verteilung der gültigen Stimmen und Sitze,,,,,,WG,Wählergemeinschaft
,,,,insgesamt,mit Wahlschein,,,insgesamt,weiblich,"Unions-
bürger",Wahlvorschlagsträger,Art,Stimmen,Sitze,Sitze weiblich,"Sitze
Unions-
bürger",EB,Einzelbewerber
,,,,,,,,,,,,,,,,,PV,Politische Vereinigung
,,,A,B,B1,C,D,E,E1,E2,,,,,,,,
,,,,,,,,,,,,,,,,,,
Prignitz             ,12070173,Karstädt                     ,6169,3391,206,76,9789,18,3,x,PDS                      ,PA,618,1,1,x,,
Prignitz             ,12070173,Karstädt                     ,6169,3391,206,76,9789,18,3,x,FDP                      ,PA,96,0,0,x,,
Prignitz             ,12070173,Karstädt                     ,6169,3391,206,76,9789,18,3,x,Einzelbewerber           ,EB,252,0,0,x,,
Prignitz             ,12070222,Kümmernitztal                ,348,210,0,5,610,8,2,x,Einzelbewerber           ,EB,610,8,2,x,,
Prignitz             ,12070236,Lanz                         ,744,399,0,8,1169,10,1,x,CDU                      ,PA,548,5,0,x,,
Prignitz             ,12070236,Lanz                         ,744,399,0,8,1169,10,1,x,PDS                      ,PA,387,3,1,x,,
Prignitz             ,12070236,Lanz                         ,744,399,0,8,1169,10,1,x,Wählergruppen            ,WG,234,2,0,x,,
Prignitz             ,12070241,Legde/Quitzöbel              ,627,395,0,18,1125,10,3,x,CDU                      ,PA,189,2,0,x,,
Prignitz             ,12070241,Legde/Quitzöbel              ,627,395,0,18,1125,10,3,x,PDS                      ,PA,25,0,0,x,,
Prignitz             ,12070241,Legde/Quitzöbel              ,627,395,0,18,1125,10,3,x,Wählergruppen            ,WG,891,8,3,x,,
Prignitz             ,12070241,Legde/Quitzöbel              ,627,395,0,18,1125,10,3,x,Einzelbewerber           ,EB,20,0,0,x,,
Prignitz             ,12070244,Lenzen (Elbe)                ,2286,1259,0,42,3569,16,3,x,CDU                      ,PA,1545,7,0,x,,
Prignitz             ,12070244,Lenzen (Elbe)                ,2286,1259,0,42,3569,16,3,x,SPD                      ,PA,465,2,1,x,,
Prignitz             ,12070244,Lenzen (Elbe)                ,2286,1259,0,42,3569,16,3,x,PDS                      ,PA,393,2,2,x,,
Prignitz             ,12070244,Lenzen (Elbe)                ,2286,1259,0,42,3569,16,3,x,FDP                      ,PA,129,1,0,x,,
Prignitz             ,12070244,Lenzen (Elbe)                ,2286,1259,0,42,3569,16,3,x,Wählergruppen            ,WG,948,4,0,x,,
Prignitz             ,12070244,Lenzen (Elbe)                ,2286,1259,0,42,3569,16,3,x,Einzelbewerber           ,EB,89,0,0,x,,
Prignitz             ,12070246,Lenzerwische                 ,442,397,0,8,1159,8,2,x,Wählergruppen            ,WG,1159,8,2,x,,
Prignitz             ,12070266,Marienfließ                  ,787,504,0,10,1457,10,5,x,CDU                      ,PA,69,1,0,x,,
Prignitz             ,12070266,Marienfließ                  ,787,504,0,10,1457,10,5,x,Wählergruppen            ,WG,464,3,1,x,,
Prignitz             ,12070266,Marienfließ                  ,787,504,0,10,1457,10,5,x,Listenvereinigungen      ,LV,193,1,1,x,,
Prignitz             ,12070266,Marienfließ                  ,787,504,0,10,1457,10,5,x,Einzelbewerber           ,EB,731,5,3,x,,
Prignitz             ,12070280,Meyenburg                    ,2158,949,0,62,2619,16,1,x,CDU                      ,PA,768,5,1,x,,
Prignitz             ,12070280,Meyenburg                    ,2158,949,0,62,2619,16,1,x,SPD                      ,PA,431,2,0,x,,
Prignitz             ,12070280,Meyenburg                    ,2158,949,0,62,2619,16,1,x,Wählergruppen            ,WG,1223,8,0,x,,
Prignitz             ,12070280,Meyenburg                    ,2158,949,0,62,2619,16,1,x,Einzelbewerber           ,EB,197,1,0,x,,
Prignitz             ,12070296,Perleberg                    ,10892,4749,349,185,13442,22,4,x,CDU                      ,PA,4388,7,0,x,,
Prignitz             ,12070296,Perleberg                    ,10892,4749,349,185,13442,22,4,x,SPD                      ,PA,2920,5,2,x,,
Prignitz             ,12070296,Perleberg                    ,10892,4749,349,185,13442,22,4,x,PDS                      ,PA,4901,8,2,x,,
Prignitz             ,12070296,Perleberg                    ,10892,4749,349,185,13442,22,4,x,FDP                      ,PA,1233,2,0,x,,
Prignitz             ,12070300,Pirow                        ,463,288,2,8,835,8,2,x,CDU                      ,PA,303,3,1,x,,
Prignitz             ,12070300,Pirow                        ,463,288,2,8,835,8,2,x,PDS                      ,PA,32,0,0,x,,
Prignitz             ,12070300,Pirow                        ,463,288,2,8,835,8,2,x,Wählergruppen            ,WG,450,5,1,x,,
Prignitz             ,12070300,Pirow                        ,463,288,2,8,835,8,2,x,Einzelbewerber           ,EB,50,0,0,x,,
Prignitz             ,12070302,Plattenburg                  ,3271,1761,0,58,5012,20,3,x,CDU                      ,PA,1359,5,1,x,,
Prignitz             ,12070302,Plattenburg                  ,3271,1761,0,58,5012,20,3,x,SPD                      ,PA,559,2,0,x,,
Prignitz             ,12070302,Plattenburg                  ,3271,1761,0,58,5012,20,3,x,PDS                      ,PA,496,2,0,x,,
Prignitz             ,12070302,Plattenburg                  ,3271,1761,0,58,5012,20,3,x,FDP                      ,PA,76,0,0,x,,
Prignitz             ,12070302,Plattenburg                  ,3271,1761,0,58,5012,20,3,x,Wählergruppen            ,WG,2312,10,2,x,,
Prignitz             ,12070302,Plattenburg                  ,3271,1761,0,58,5012,20,3,x,Einzelbewerber           ,EB,210,1,0,x,,
Prignitz             ,12070316,Pritzwalk                    ,11480,4854,424,144,13920,22,4,x,CDU                      ,PA,3583,6,0,x,,
Prignitz             ,12070316,Pritzwalk                    ,11480,4854,424,144,13920,22,4,x,SPD                      ,PA,2943,5,1,x,,
Prignitz             ,12070316,Pritzwalk                    ,11480,4854,424,144,13920,22,4,x,PDS                      ,PA,3266,5,1,x,,
Prignitz             ,12070316,Pritzwalk                    ,11480,4854,424,144,13920,22,4,x,FDP                      ,PA,1788,3,1,x,,
Prignitz             ,12070316,Pritzwalk                    ,11480,4854,424,144,13920,22,4,x,Wählergruppen            ,WG,2340,3,1,x,,
Prignitz             ,12070325,Putlitz                      ,2611,1574,77,50,4521,24,5,x,CDU                      ,PA,977,5,1,x,,
Prignitz             ,12070325,Putlitz                      ,2611,1574,77,50,4521,24,5,x,PDS                      ,PA,384,2,1,x,,
Prignitz             ,12070325,Putlitz                      ,2611,1574,77,50,4521,24,5,x,Wählergruppen            ,WG,1816,11,2,x,,
Prignitz             ,12070325,Putlitz                      ,2611,1574,77,50,4521,24,5,x,Listenvereinigungen      ,LV,1206,6,1,x,,
Prignitz             ,12070325,Putlitz                      ,2611,1574,77,50,4521,24,5,x,Einzelbewerber           ,EB,138,0,0,x,,
Prignitz             ,12070348,Rühstädt                     ,469,348,0,16,987,8,1,x,CDU                      ,PA,493,4,1,x,,
Prignitz             ,12070348,Rühstädt                     ,469,348,0,16,987,8,1,x,PDS                      ,PA,95,1,0,x,,
Prignitz             ,12070348,Rühstädt                     ,469,348,0,16,987,8,1,x,FDP                      ,PA,26,0,0,x,,
Prignitz             ,12070348,Rühstädt                     ,469,348,0,16,987,8,1,x,Wählergruppen            ,WG,373,3,0,x,,
Prignitz             ,12070393,Triglitz                     ,469,314,8,8,911,8,0,x,Wählergruppen            ,WG,911,8,0,x,,
Prignitz             ,12070416,Weisen                       ,941,505,0,22,1424,10,0,x,CDU                      ,PA,293,2,0,x,,
Prignitz             ,12070416,Weisen                       ,941,505,0,22,1424,10,0,x,Wählergruppen            ,WG,963,7,0,x,,
Prignitz             ,12070416,Weisen                       ,941,505,0,22,1424,10,0,x,Einzelbewerber           ,EB,168,1,0,x,,
Prignitz             ,12070424,Wittenberge                  ,17726,6856,573,250,19578,28,6,x,CDU                      ,PA,3809,5,0,x,,
Prignitz             ,12070424,Wittenberge                  ,17726,6856,573,250,19578,28,6,x,SPD                      ,PA,3980,6,2,x,,
Prignitz             ,12070424,Wittenberge                  ,17726,6856,573,250,19578,28,6,x,PDS                      ,PA,5166,7,2,x,,
Prignitz             ,12070424,Wittenberge                  ,17726,6856,573,250,19578,28,6,x,FDP                      ,PA,1750,3,0,x,,
Prignitz             ,12070424,Wittenberge                  ,17726,6856,573,250,19578,28,6,x,GRÜNE/B 90               ,PA,433,1,0,x,,
Prignitz             ,12070424,Wittenberge                  ,17726,6856,573,250,19578,28,6,x,Wählergruppen            ,WG,4440,6,2,x,,
Spree-Neiße          ,12071028,Briesen                      ,696,386,0,8,1124,10,2,x,FDP                      ,PA,135,1,0,x,,
Spree-Neiße          ,12071028,Briesen                      ,696,386,0,8,1124,10,2,x,Wählergruppen            ,WG,340,3,1,x,,
Spree-Neiße          ,12071028,Briesen                      ,696,386,0,8,1124,10,2,x,DW                       ,PV,649,6,1,x,,
Spree-Neiße          ,12071032,Burg (Spreewald)             ,3816,1753,0,46,5028,16,1,x,CDU                      ,PA,1549,5,1,x,,
Spree-Neiße          ,12071032,Burg (Spreewald)             ,3816,1753,0,46,5028,16,1,x,SPD                      ,PA,1430,4,0,x,,
Spree-Neiße          ,12071032,Burg (Spreewald)             ,3816,1753,0,46,5028,16,1,x,PDS                      ,PA,925,3,0,x,,
Spree-Neiße          ,12071032,Burg (Spreewald)             ,3816,1753,0,46,5028,16,1,x,Einzelbewerber           ,EB,272,1,0,x,,
Spree-Neiße          ,12071032,Burg (Spreewald)             ,3816,1753,0,46,5028,16,1,x,GfB                      ,PV,852,3,0,x,,
Spree-Neiße          ,12071041,Dissen-Striesow              ,850,534,0,22,1532,10,1,x,Wählergruppen            ,WG,1532,10,1,x,,
Spree-Neiße          ,12071044,Döbern                       ,3458,1533,91,50,4381,16,4,x,CDU                      ,PA,1071,4,1,x,,
Spree-Neiße          ,12071044,Döbern                       ,3458,1533,91,50,4381,16,4,x,SPD                      ,PA,651,2,0,x,,
Spree-Neiße          ,12071044,Döbern                       ,3458,1533,91,50,4381,16,4,x,PDS                      ,PA,676,2,1,x,,
Spree-Neiße          ,12071044,Döbern                       ,3458,1533,91,50,4381,16,4,x,FDP                      ,PA,477,2,1,x,,
Spree-Neiße          ,12071044,Döbern                       ,3458,1533,91,50,4381,16,4,x,DSU                      ,PA,42,0,0,x,,
Spree-Neiße          ,12071044,Döbern                       ,3458,1533,91,50,4381,16,4,x,Wählergruppen            ,WG,1464,6,1,x,,
Spree-Neiße          ,12071052,Drachhausen                  ,768,364,0,24,1008,10,4,x,SPD                      ,PA,428,4,1,x,,
Spree-Neiße          ,12071052,Drachhausen                  ,768,364,0,24,1008,10,4,x,PDS                      ,PA,222,2,1,x,,
Spree-Neiße          ,12071052,Drachhausen                  ,768,364,0,24,1008,10,4,x,Wählergruppen            ,WG,314,3,1,x,,
Spree-Neiße          ,12071052,Drachhausen                  ,768,364,0,24,1008,10,4,x,Einzelbewerber           ,EB,44,1,1,x,,
Spree-Neiße          ,12071057,Drebkau                      ,5423,2355,143,116,6605,26,3,x,CDU                      ,PA,1982,8,0,x,,
Spree-Neiße          ,12071057,Drebkau                      ,5423,2355,143,116,6605,26,3,x,SPD                      ,PA,1210,5,2,x,,
Spree-Neiße          ,12071057,Drebkau                      ,5423,2355,143,116,6605,26,3,x,PDS                      ,PA,1011,4,1,x,,
Spree-Neiße          ,12071057,Drebkau                      ,5423,2355,143,116,6605,26,3,x,FDP                      ,PA,288,1,0,x,,
Spree-Neiße          ,12071057,Drebkau                      ,5423,2355,143,116,6605,26,3,x,Wählergruppen            ,WG,1562,6,0,x,,
Spree-Neiße          ,12071057,Drebkau                      ,5423,2355,143,116,6605,26,3,x,Einzelbewerber           ,EB,552,2,0,x,,
Spree-Neiße          ,12071060,Drehnow                      ,540,313,0,15,888,8,1,x,SPD                      ,PA,76,1,0,x,,
Spree-Neiße          ,12071060,Drehnow                      ,540,313,0,15,888,8,1,x,Wählergruppen            ,WG,812,7,1,x,,
Spree-Neiße          ,12071074,Felixsee                     ,2046,1189,0,48,3350,12,2,x,SPD                      ,PA,1884,7,1,x,,
Spree-Neiße          ,12071074,Felixsee                     ,2046,1189,0,48,3350,12,2,x,PDS                      ,PA,850,3,1,x,,
Spree-Neiße          ,12071074,Felixsee                     ,2046,1189,0,48,3350,12,2,x,FDP                      ,PA,321,1,0,x,,
Spree-Neiße          ,12071074,Felixsee                     ,2046,1189,0,48,3350,12,2,x,Wählergruppen            ,WG,295,1,0,x,,
Spree-Neiße          ,12071076,Forst (Lausitz)              ,18911,7289,843,284,20766,28,4,x,CDU                      ,PA,6895,9,0,x,,
Spree-Neiße          ,12071076,Forst (Lausitz)              ,18911,7289,843,284,20766,28,4,x,SPD                      ,PA,4040,5,2,x,,
Spree-Neiße          ,12071076,Forst (Lausitz)              ,18911,7289,843,284,20766,28,4,x,PDS                      ,PA,5370,7,2,x,,
Spree-Neiße          ,12071076,Forst (Lausitz)              ,18911,7289,843,284,20766,28,4,x,FDP                      ,PA,1977,3,0,x,,
Spree-Neiße          ,12071076,Forst (Lausitz)              ,18911,7289,843,284,20766,28,4,x,GRÜNE/B 90               ,PA,286,0,0,x,,
Spree-Neiße          ,12071076,Forst (Lausitz)              ,18911,7289,843,284,20766,28,4,x,Wählergruppen            ,WG,500,1,0,x,,
Spree-Neiße          ,12071076,Forst (Lausitz)              ,18911,7289,843,284,20766,28,4,x,Einzelbewerber           ,EB,831,2,0,x,,
Spree-Neiße          ,12071076,Forst (Lausitz)              ,18911,7289,843,284,20766,28,4,x,Schill                   ,PA,867,1,0,x,,
Spree-Neiße          ,12071153,Groß Schacksdorf-Simmersdorf ,950,430,0,21,1210,10,4,x,Wählergruppen            ,WG,1210,10,4,x,,
Spree-Neiße          ,12071160,Guben                        ,18710,7225,628,263,20743,28,10,x,CDU                      ,PA,5083,7,1,x,,
Spree-Neiße          ,12071160,Guben                        ,18710,7225,628,263,20743,28,10,x,SPD                      ,PA,3337,4,1,x,,
Spree-Neiße          ,12071160,Guben                        ,18710,7225,628,263,20743,28,10,x,PDS                      ,PA,5751,8,5,x,,
Spree-Neiße          ,12071160,Guben                        ,18710,7225,628,263,20743,28,10,x,FDP                      ,PA,991,1,0,x,,
Spree-Neiße          ,12071160,Guben                        ,18710,7225,628,263,20743,28,10,x,DSU                      ,PA,841,1,0,x,,
Spree-Neiße          ,12071160,Guben                        ,18710,7225,628,263,20743,28,10,x,Wählergruppen            ,WG,4740,7,3,x,,
Spree-Neiße          ,12071164,Guhrow                       ,507,273,0,9,785,8,3,x,Einzelbewerber           ,EB,785,8,3,x,,
Spree-Neiße          ,12071172,Haidemühl                    ,507,255,1,2,697,8,2,x,CDU                      ,PA,364,4,0,x,,
Spree-Neiße          ,12071172,Haidemühl                    ,507,255,1,2,697,8,2,x,PDS                      ,PA,89,1,0,x,,
Spree-Neiße          ,12071172,Haidemühl                    ,507,255,1,2,697,8,2,x,Wählergruppen            ,WG,162,2,2,x,,
Spree-Neiße          ,12071172,Haidemühl                    ,507,255,1,2,697,8,2,x,Einzelbewerber           ,EB,82,1,0,x,,
Spree-Neiße          ,12071176,Heinersbrück                 ,597,336,0,13,967,10,1,x,SPD                      ,PA,60,0,0,x,,
Spree-Neiße          ,12071176,Heinersbrück                 ,597,336,0,13,967,10,1,x,Wählergruppen            ,WG,761,8,1,x,,
Spree-Neiße          ,12071176,Heinersbrück                 ,597,336,0,13,967,10,1,x,Einzelbewerber           ,EB,146,2,0,x,,
Spree-Neiße          ,12071185,Hornow-Wadelsdorf            ,546,293,0,13,830,10,3,x,Listenvereinigungen      ,LV,785,9,3,x,,
Spree-Neiße          ,12071185,Hornow-Wadelsdorf            ,546,293,0,13,830,10,3,x,Einzelbewerber           ,EB,45,1,0,x,,
Spree-Neiße          ,12071189,Jämlitz-Klein Düben          ,457,282,0,12,795,8,1,x,Wählergruppen            ,WG,795,8,1,x,,
Spree-Neiße          ,12071193,Jänschwalde                  ,1816,1042,35,48,2950,16,1,x,SPD                      ,PA,564,3,0,x,,
Spree-Neiße          ,12071193,Jänschwalde                  ,1816,1042,35,48,2950,16,1,x,PDS                      ,PA,546,3,1,x,,
Spree-Neiße          ,12071193,Jänschwalde                  ,1816,1042,35,48,2950,16,1,x,FDP                      ,PA,124,1,0,x,,
Spree-Neiße          ,12071193,Jänschwalde                  ,1816,1042,35,48,2950,16,1,x,Wählergruppen            ,WG,479,3,0,x,,
Spree-Neiße          ,12071193,Jänschwalde                  ,1816,1042,35,48,2950,16,1,x,Einzelbewerber           ,EB,444,2,0,x,,
Spree-Neiße          ,12071193,Jänschwalde                  ,1816,1042,35,48,2950,16,1,x,DW                       ,PV,793,4,0,x,,
Spree-Neiße          ,12071244,Kolkwitz                     ,8471,3989,0,135,11419,22,3,x,CDU                      ,PA,4690,9,1,x,,
Spree-Neiße          ,12071244,Kolkwitz                     ,8471,3989,0,135,11419,22,3,x,SPD                      ,PA,3473,7,1,x,,
Spree-Neiße          ,12071244,Kolkwitz                     ,8471,3989,0,135,11419,22,3,x,PDS                      ,PA,1612,3,1,x,,
Spree-Neiße          ,12071244,Kolkwitz                     ,8471,3989,0,135,11419,22,3,x,FDP                      ,PA,413,1,0,x,,
Spree-Neiße          ,12071244,Kolkwitz                     ,8471,3989,0,135,11419,22,3,x,DSU                      ,PA,112,0,0,x,,
Spree-Neiße          ,12071244,Kolkwitz                     ,8471,3989,0,135,11419,22,3,x,Wählergruppen            ,WG,1119,2,0,x,,
Spree-Neiße          ,12071294,Neiße-Malxetal               ,1572,900,0,21,2599,12,1,x,CDU                      ,PA,141,1,0,x,,
Spree-Neiße          ,12071294,Neiße-Malxetal               ,1572,900,0,21,2599,12,1,x,Wählergruppen            ,WG,1774,8,0,x,,
Spree-Neiße          ,12071294,Neiße-Malxetal               ,1572,900,0,21,2599,12,1,x,Einzelbewerber           ,EB,684,3,1,x,,
Spree-Neiße          ,12071304,Peitz                        ,4402,1776,0,63,5067,18,2,x,CDU                      ,PA,1997,7,1,x,,
Spree-Neiße          ,12071304,Peitz                        ,4402,1776,0,63,5067,18,2,x,SPD                      ,PA,1200,4,0,x,,
Spree-Neiße          ,12071304,Peitz                        ,4402,1776,0,63,5067,18,2,x,PDS                      ,PA,868,3,1,x,,
Spree-Neiße          ,12071304,Peitz                        ,4402,1776,0,63,5067,18,2,x,FDP                      ,PA,1002,4,0,x,,
Spree-Neiße          ,12071337,Schenkendöbern               ,3763,2186,231,67,6316,20,4,x,CDU                      ,PA,2595,8,0,x,,
Spree-Neiße          ,12071337,Schenkendöbern               ,3763,2186,231,67,6316,20,4,x,SPD                      ,PA,1062,3,1,x,,
Spree-Neiße          ,12071337,Schenkendöbern               ,3763,2186,231,67,6316,20,4,x,PDS                      ,PA,670,2,2,x,,
Spree-Neiße          ,12071337,Schenkendöbern               ,3763,2186,231,67,6316,20,4,x,DSU                      ,PA,319,1,0,x,,
Spree-Neiße          ,12071337,Schenkendöbern               ,3763,2186,231,67,6316,20,4,x,Wählergruppen            ,WG,1246,5,1,x,,
Spree-Neiße          ,12071337,Schenkendöbern               ,3763,2186,231,67,6316,20,4,x,Einzelbewerber           ,EB,424,1,0,x,,
Spree-Neiße          ,12071341,Schmogrow-Fehrow             ,809,555,0,14,1569,10,1,x,CDU                      ,PA,788,6,0,x,,
Spree-Neiße          ,12071341,Schmogrow-Fehrow             ,809,555,0,14,1569,10,1,x,Wählergruppen            ,WG,781,4,1,x,,
Spree-Neiße          ,12071372,Spremberg                    ,21696,9140,744,392,25791,32,13,x,CDU                      ,PA,9820,12,2,x,,
Spree-Neiße          ,12071372,Spremberg                    ,21696,9140,744,392,25791,32,13,x,SPD                      ,PA,4103,5,1,x,,
Spree-Neiße          ,12071372,Spremberg                    ,21696,9140,744,392,25791,32,13,x,PDS                      ,PA,4358,6,4,x,,
Spree-Neiße          ,12071372,Spremberg                    ,21696,9140,744,392,25791,32,13,x,FDP                      ,PA,1087,1,1,x,,
Spree-Neiße          ,12071372,Spremberg                    ,21696,9140,744,392,25791,32,13,x,GRÜNE/B 90               ,PA,281,0,0,x,,
Spree-Neiße          ,12071372,Spremberg                    ,21696,9140,744,392,25791,32,13,x,Wählergruppen            ,WG,5362,7,5,x,,
Spree-Neiße          ,12071372,Spremberg                    ,21696,9140,744,392,25791,32,13,x,Schill                   ,PA,780,1,0,x,,
Spree-Neiße          ,12071384,Tauer                        ,676,368,0,19,1046,10,2,x,Wählergruppen            ,WG,945,9,2,x,,
Spree-Neiße          ,12071384,Tauer                        ,676,368,0,19,1046,10,2,x,Einzelbewerber           ,EB,101,1,0,x,,
Spree-Neiße          ,12071386,Teichland                    ,1086,729,0,20,2106,10,2,x,PDS                      ,PA,251,1,0,x,,
Spree-Neiße          ,12071386,Teichland                    ,1086,729,0,20,2106,10,2,x,Wählergruppen            ,WG,1855,9,2,x,,
Spree-Neiße          ,12071392,Tschernitz                   ,1373,799,0,30,2272,12,4,x,PDS                      ,PA,121,1,1,x,,
Spree-Neiße          ,12071392,Tschernitz                   ,1373,799,0,30,2272,12,4,x,Wählergruppen            ,WG,2065,11,3,x,,
Spree-Neiße          ,12071392,Tschernitz                   ,1373,799,0,30,2272,12,4,x,Einzelbewerber           ,EB,86,0,0,x,,
Spree-Neiße          ,12071401,Turnow-Preilack              ,1067,668,0,44,1857,10,3,x,CDU                      ,PA,426,2,0,x,,
Spree-Neiße          ,12071401,Turnow-Preilack              ,1067,668,0,44,1857,10,3,x,SPD                      ,PA,221,1,1,x,,
Spree-Neiße          ,12071401,Turnow-Preilack              ,1067,668,0,44,1857,10,3,x,FDP                      ,PA,217,1,1,x,,
Spree-Neiße          ,12071401,Turnow-Preilack              ,1067,668,0,44,1857,10,3,x,Wählergruppen            ,WG,993,6,1,x,,
Spree-Neiße          ,12071408,Welzow                       ,3838,1730,186,58,4953,16,4,x,CDU                      ,PA,1289,4,0,x,,
Spree-Neiße          ,12071408,Welzow                       ,3838,1730,186,58,4953,16,4,x,SPD                      ,PA,1224,4,1,x,,
Spree-Neiße          ,12071408,Welzow                       ,3838,1730,186,58,4953,16,4,x,PDS                      ,PA,480,2,2,x,,
Spree-Neiße          ,12071408,Welzow                       ,3838,1730,186,58,4953,16,4,x,Wählergruppen            ,WG,534,2,1,x,,
Spree-Neiße          ,12071408,Welzow                       ,3838,1730,186,58,4953,16,4,x,Einzelbewerber           ,EB,19,0,0,x,,
Spree-Neiße          ,12071408,Welzow                       ,3838,1730,186,58,4953,16,4,x,BiZW                     ,PV,1407,4,0,x,,
Spree-Neiße          ,12071412,Werben                       ,1598,791,0,32,2234,12,3,x,CDU                      ,PA,1353,7,2,x,,
Spree-Neiße          ,12071412,Werben                       ,1598,791,0,32,2234,12,3,x,PDS                      ,PA,282,2,1,x,,
Spree-Neiße          ,12071412,Werben                       ,1598,791,0,32,2234,12,3,x,Wählergruppen            ,WG,599,3,0,x,,
Spree-Neiße          ,12071414,Wiesengrund                  ,1343,666,0,28,1887,12,2,x,Wählergruppen            ,WG,1887,12,2,x,,
Teltow-Fläming       ,12072002,Am Mellensee                 ,5789,2912,201,100,8315,18,3,x,CDU                      ,PA,2196,5,2,x,,
Teltow-Fläming       ,12072002,Am Mellensee                 ,5789,2912,201,100,8315,18,3,x,SPD                      ,PA,2850,6,1,x,,
Teltow-Fläming       ,12072002,Am Mellensee                 ,5789,2912,201,100,8315,18,3,x,PDS                      ,PA,1260,3,0,x,,
Teltow-Fläming       ,12072002,Am Mellensee                 ,5789,2912,201,100,8315,18,3,x,Wählergruppen            ,WG,2009,4,0,x,,
Teltow-Fläming       ,12072014,Baruth/Mark                  ,3806,1810,0,64,5186,16,4,x,CDU                      ,PA,976,3,0,x,,
Teltow-Fläming       ,12072014,Baruth/Mark                  ,3806,1810,0,64,5186,16,4,x,SPD                      ,PA,1191,4,1,x,,
Teltow-Fläming       ,12072014,Baruth/Mark                  ,3806,1810,0,64,5186,16,4,x,PDS                      ,PA,606,2,0,x,,
Teltow-Fläming       ,12072014,Baruth/Mark                  ,3806,1810,0,64,5186,16,4,x,Wählergruppen            ,WG,2413,7,3,x,,
Teltow-Fläming       ,12072017,Blankenfelde-Mahlow          ,18243,8431,808,240,24282,28,4,x,CDU                      ,PA,6552,7,1,x,,
Teltow-Fläming       ,12072017,Blankenfelde-Mahlow          ,18243,8431,808,240,24282,28,4,x,SPD                      ,PA,6345,7,2,x,,
Teltow-Fläming       ,12072017,Blankenfelde-Mahlow          ,18243,8431,808,240,24282,28,4,x,PDS                      ,PA,4326,5,1,x,,
Teltow-Fläming       ,12072017,Blankenfelde-Mahlow          ,18243,8431,808,240,24282,28,4,x,FDP                      ,PA,621,1,0,x,,
Teltow-Fläming       ,12072017,Blankenfelde-Mahlow          ,18243,8431,808,240,24282,28,4,x,GRÜNE/B 90               ,PA,1005,1,0,x,,
Teltow-Fläming       ,12072017,Blankenfelde-Mahlow          ,18243,8431,808,240,24282,28,4,x,Wählergruppen            ,WG,4542,6,0,x,,
Teltow-Fläming       ,12072017,Blankenfelde-Mahlow          ,18243,8431,808,240,24282,28,4,x,Einzelbewerber           ,EB,891,1,0,x,,
Teltow-Fläming       ,12072053,Dahme/Mark                   ,5185,2709,0,122,7633,18,3,x,CDU                      ,PA,846,2,0,x,,
Teltow-Fläming       ,12072053,Dahme/Mark                   ,5185,2709,0,122,7633,18,3,x,SPD                      ,PA,2048,5,1,x,,
Teltow-Fläming       ,12072053,Dahme/Mark                   ,5185,2709,0,122,7633,18,3,x,PDS                      ,PA,1090,3,0,x,,
Teltow-Fläming       ,12072053,Dahme/Mark                   ,5185,2709,0,122,7633,18,3,x,FDP                      ,PA,68,0,0,x,,
Teltow-Fläming       ,12072053,Dahme/Mark                   ,5185,2709,0,122,7633,18,3,x,Wählergruppen            ,WG,3482,8,2,x,,
Teltow-Fläming       ,12072053,Dahme/Mark                   ,5185,2709,0,122,7633,18,3,x,Einzelbewerber           ,EB,99,0,0,x,,
Teltow-Fläming       ,12072055,Dahmetal                     ,437,333,0,8,964,8,2,x,CDU                      ,PA,361,3,0,x,,
Teltow-Fläming       ,12072055,Dahmetal                     ,437,333,0,8,964,8,2,x,SPD                      ,PA,41,0,0,x,,
Teltow-Fläming       ,12072055,Dahmetal                     ,437,333,0,8,964,8,2,x,Einzelbewerber           ,EB,562,5,2,x,,
Teltow-Fläming       ,12072120,Großbeeren                   ,5071,2610,98,77,7490,18,1,x,CDU                      ,PA,1740,4,0,x,,
Teltow-Fläming       ,12072120,Großbeeren                   ,5071,2610,98,77,7490,18,1,x,SPD                      ,PA,997,2,0,x,,
Teltow-Fläming       ,12072120,Großbeeren                   ,5071,2610,98,77,7490,18,1,x,PDS                      ,PA,633,2,1,x,,
Teltow-Fläming       ,12072120,Großbeeren                   ,5071,2610,98,77,7490,18,1,x,FDP                      ,PA,2246,5,0,x,,
Teltow-Fläming       ,12072120,Großbeeren                   ,5071,2610,98,77,7490,18,1,x,Wählergruppen            ,WG,1651,4,0,x,,
Teltow-Fläming       ,12072120,Großbeeren                   ,5071,2610,98,77,7490,18,1,x,Einzelbewerber           ,EB,223,1,0,x,,
Teltow-Fläming       ,12072157,Ihlow                        ,693,499,2,12,1453,10,2,x,CDU                      ,PA,375,3,1,x,,
Teltow-Fläming       ,12072157,Ihlow                        ,693,499,2,12,1453,10,2,x,Einzelbewerber           ,EB,1078,7,1,x,,
Teltow-Fläming       ,12072169,Jüterbog                     ,11164,4950,397,196,14054,22,5,x,CDU                      ,PA,3029,5,1,x,,
