KreisNr,GemeindeNr,Gemeindename,Anzahl Stimmbezirke,Zu vergebene Sitze,Mehrheitswahl,Wahlberechtiget,Wähler,Wahlbeteiligung,Ungültige Stimmabgaben,Gültige Stimmabgaben,Gültige Stimmen,CDU,DIE LINKE,SPD,FDP,GRÜNE,Sonstige
63,63068,Schleid,12,,894,690,77.2,45,645,1924,30.4,-,-,-,-,69.6
63,63069,Schweina,16,,2628,1634,62.2,113,1521,4527,24.7,22.4,35.4,-,-,17.5
63,63071,Seebach,14,,2146,1180,55,48,1132,3362,73,27,-,-,-,-
63,63072,"Stadtlengsfeld, Stadt",14,,2311,1312,56.8,46,1266,3780,29.1,-,20.2,8.5,-,42.1
63,63073,Steinbach,12,,1191,578,48.5,38,540,1589,23.2,-,38.3,38.5,-,-
63,63075,Tiefenort,16,,3534,2104,59.5,58,2046,6075,-,-,-,-,-,100
63,63076,"Treffurt, Stadt",20,,5015,2661,53.1,110,2551,7497,62.1,16.4,21.5,-,-,-
63,63078,Unterbreizbach,16,,3426,2114,61.7,77,2037,6025,47.7,17.4,15.9,-,-,19
63,63081,Urnshausen,8,,682,413,60.6,24,389,1134,-,24.7,-,-,-,75.3
63,63082,"Vacha, Stadt",16,,3234,1632,50.5,43,1589,4726,-,-,43.7,-,-,56.3
63,63083,V�lkershausen,12,x,1026,590,57.5,28,562,4591,-,-,-,-,-,100
63,63084,Weilar,8,,759,519,68.4,23,496,1463,29.2,-,-,-,-,70.8
63,63086,Wiesenthal,8,,720,593,82.4,22,571,1705,-,-,32.4,12.6,-,55.1
63,63087,W�lferb�tt,6,,369,261,70.7,15,246,734,-,-,-,-,-,100
63,63089,Wolfsburg-Unkeroda,8,,661,446,67.5,33,413,1223,51.3,-,-,-,-,48.7
63,63092,Wutha-Farnroda,20,,5946,2828,47.6,77,2751,8103,44.7,11.4,43.8,-,-,-
63,63093,Zella/Rh�n,8,x,420,326,77.6,9,317,1554,-,-,-,-,-,100
63,63094,Moorgrund,16,,3111,1839,59.1,44,1795,5343,45.1,-,9.1,-,-,45.8
63,63095,H�rselberg,16,,2775,1397,50.3,85,1312,3849,53.5,-,-,-,-,46.5
63,63096,Behringen,16,,2876,1699,59.1,112,1587,4622,20.2,-,-,-,-,79.8
63,63097,Gerstungen,20,,5139,2861,55.7,112,2749,8116,29.6,-,-,6.2,-,64.2
64,64001,Altengottern,12,,960,593,61.8,41,552,1652,35,-,-,-,-,65
64,64003,"Bad Langensalza, Stadt",24,,15939,7033,44.1,248,6785,19945,29.7,21.2,13.8,35.3,-,-
