City,Year,Average,Air Quality Station Type
Augsburg,2024,48.6555,Background
Augsburg,2025,53.8865,Background
Bad Arolsen,1999,60.389,Background
Bad Arolsen,2000,52.751,Background
Bad Arolsen,2001,54.182,Background
Bad Arolsen,2002,58.687,Background
Bad Arolsen,2003,65.652,Background
Bad Arolsen,2004,60.518,Background
Bad Arolsen,2005,60.818,Background
Bad Arolsen,2006,62.918,Background
Bad Arolsen,2007,60.28,Background
Bad Arolsen,2008,60.846,Background
Bad Arolsen,2009,58.678,Background
Bad Arolsen,2010,57.08,Background
Bad Arolsen,2011,56.091,Background
Bad Arolsen,2012,58.393,Background
Bad Arolsen,2013,60.213,Background
Bad Arolsen,2014,53.93,Background
Bad Arolsen,2015,58.319,Background
Bad Arolsen,2016,54.9,Background
Bad Arolsen,2017,52.63,Background
Bad Arolsen,2018,65.422,Background
Bad Arolsen,2019,62.454,Background
Bad Arolsen,2020,64.461,Background
Bad Arolsen,2021,60.402,Background
Bad Arolsen,2022,64.513,Background
Bad Arolsen,2023,69.944,Background
Bad Belzig,2003,62.161,Background
Bad Belzig,2004,54.907,Background
Bad Belzig,2005,55.713,Background
Bad Belzig,2006,52.949,Background
Bad Belzig,2007,51.541,Background
Bad Belzig,2008,51.832,Background
Bad Belzig,2009,50.541,Background
Bad Belzig,2010,50.779,Background
Bad Belzig,2011,50.215,Background
Bad Belzig,2012,49.859,Background
Bad Belzig,2013,51.917,Background
Bad Belzig,2014,46.881,Background
Bad Belzig,2015,50.091,Background
Bad Belzig,2016,47.959,Background
Bad Belzig,2017,47.565,Background
Bad Belzig,2018,58.197,Background
Bad Belzig,2019,57.268,Background
Bad Belzig,2020,53.953,Background
Bad Belzig,2021,52.725,Background
Bad Belzig,2022,56.684,Background
Bad Belzig,2023,59.511,Background
Bad Belzig,2024,55.581,Background
Bad Belzig,2025,56.591,Background
Bad Berka,2001,55.765,Industrial
Bad Berka,2002,37.176,Industrial
Bad Dürrenberg,1993,36.513,Background
Bad Dürrenberg,1994,41.115,Background
Bad Dürrenberg,1995,37.424,Background
Bad Dürrenberg,1996,38.736,Background
Bad Dürrenberg,1997,43.135,Background
Bad Dürrenberg,1998,42.605,Background
Bad Dürrenberg,1999,48.604,Background
Bad Dürrenberg,2000,44.271,Background
Bad Hindelang,2010,60.809,Background
Bad Hindelang,2011,65.484,Background
Bad Hindelang,2012,66.179,Background
Bad Hindelang,2013,67.783,Background
Bad Hindelang,2014,67.601,Background
Bad Hindelang,2015,75.526,Background
Bad Hindelang,2016,67.842,Background
Bad Hindelang,2017,70.597,Background
Bad Hindelang,2018,71.945,Background
Bad Hindelang,2019,68.466,Background
Bad Hindelang,2020,68.552,Background
Bad Hindelang,2021,68.272,Background
Bad Hindelang,2022,69.272,Background
Bad Hindelang,2023,69.587,Background
Bad Hindelang,2024,64.824,Background
Bad Hindelang,2025,82.646,Background
Bad Kreuznach(Verbandsfreie Geme,1990,39.27,Background
Bad Kreuznach(Verbandsfreie Geme,1991,34.131,Background
Bad Kreuznach(Verbandsfreie Geme,1992,36.897,Background
Bad Kreuznach(Verbandsfreie Geme,1993,34.741,Background
Bad Kreuznach(Verbandsfreie Geme,1994,29.933,Background
Bad Kreuznach(Verbandsfreie Geme,1995,36.372,Background
Bad Kreuznach(Verbandsfreie Geme,1996,31.19,Background
Bad Kreuznach(Verbandsfreie Geme,1997,32.939,Background
Bad Kreuznach(Verbandsfreie Geme,1998,35.344,Background
Bad Kreuznach(Verbandsfreie Geme,1999,35.612,Background
Bad Kreuznach(Verbandsfreie Geme,2000,31.348,Background
Bad Kreuznach(Verbandsfreie Geme,2001,35.542,Background
Bad Kreuznach(Verbandsfreie Geme,2002,36.403,Background
Bad Kreuznach(Verbandsfreie Geme,2003,39.277,Background
Bad Kreuznach(Verbandsfreie Geme,2004,35.914,Background
Bad Kreuznach(Verbandsfreie Geme,2005,36.644,Background
Bad Kreuznach(Verbandsfreie Geme,2006,41.043,Background
Bad Kreuznach(Verbandsfreie Geme,2007,39.083,Background
Bad Kreuznach(Verbandsfreie Geme,2008,40.051,Background
Bad Kreuznach(Verbandsfreie Geme,2009,38.205,Background
Bad Kreuznach(Verbandsfreie Geme,2010,34.341,Background
Bad Kreuznach(Verbandsfreie Geme,2011,37.28,Background
Bad Kreuznach(Verbandsfreie Geme,2012,39.703,Background
Bad Kreuznach(Verbandsfreie Geme,2013,39.601,Background
Bad Kreuznach(Verbandsfreie Geme,2014,34.678,Background
Bad Kreuznach(Verbandsfreie Geme,2015,38.822,Background
Bad Kreuznach(Verbandsfreie Geme,2016,38.542,Background
Bad Kreuznach(Verbandsfreie Geme,2017,40.405,Background
Bad Kreuznach(Verbandsfreie Geme,2018,44.399,Background
Bad Kreuznach(Verbandsfreie Geme,2019,43.961,Background
Bad Kreuznach(Verbandsfreie Geme,2020,46.194,Background
Bad Kreuznach(Verbandsfreie Geme,2021,39.849,Background
Bad Kreuznach(Verbandsfreie Geme,2022,46.652,Background
Bad Kreuznach(Verbandsfreie Geme,2023,50.505,Background
Bad Kreuznach(Verbandsfreie Geme,2024,40.156,Background
Bad Kreuznach(Verbandsfreie Geme,2025,44.472,Background
Bad Reichenhall,1992,45.639,Background
Bad Reichenhall,1993,44.057,Background
Bad Reichenhall,1994,46.228,Background
Bad Reichenhall,1995,51.619,Background
Bad Reichenhall,1996,40.687,Background
Bad Reichenhall,1997,43.395,Background
Bad Reichenhall,1998,49.458,Background
Bad Reichenhall,1999,50.83,Background
Bad Reichenhall,2000,48.904,Background
Bad Reichenhall,2001,43.819,Background
Bad Reichenhall,2002,45.306,Background
Bad Reichenhall,2003,57.636,Background
Bad Reichenhall,2004,47.486,Background
Bad Reichenhall,2005,43.985,Background
Bad Reichenhall,2006,45.823,Background
Bad Reichenhall,2007,46.809,Background
Bad Reichenhall,2008,42.897,Background
Bad Reichenhall,2009,41.026,Background
Bad Reichenhall,2010,47.59,Background
Bad Reichenhall,2011,39.831,Background
Bad Reichenhall,2012,44.878,Background
Bad Reichenhall,2013,44.785,Background
Bad Reichenhall,2014,40.419,Background
Bad Reichenhall,2015,47.722,Background
Bad Reichenhall,2016,46.359,Background
Bad Reichenhall,2017,52.64,Background
Bad Reichenhall,2018,53.111,Background
Bad Reichenhall,2019,52.162,Background
Bad Reichenhall,2020,47.643,Background
Bad Reichenhall,2021,46.616,Background
Bad Reichenhall,2022,49.777,Background
Bad Reichenhall,2023,53.091,Background
Bad Reichenhall,2024,48.614,Background
Bad Waldsee,2000,58.951,Background
Bad Waldsee,2001,56.592,Background
Bad Waldsee,2002,53.819,Background
Bad Waldsee,2003,58.061,Background
Baden-Baden,1993,47.007,Background
Baden-Baden,1994,44.842,Background
Baden-Baden,1995,44.222,Background
Baden-Baden,1996,40.348,Background
Baden-Baden,1997,46.785,Background
Baden-Baden,1998,51.897,Background
Baden-Baden,1999,52.183,Background
Baden-Baden,2000,47.849,Background
Baden-Baden,2001,52.395,Background
Baden-Baden,2002,47.237,Background
Baden-Baden,2003,51.051,Background
Baden-Baden,2004,50.383,Background
Baden-Baden,2005,48.585,Background
Baden-Baden,2006,49.08,Background
Baden-Baden,2007,45.268,Background
Baden-Baden,2008,45.438,Background
Baden-Baden,2009,46.232,Background
Baden-Baden,2010,44.73,Background
Baden-Baden,2011,48.593,Background
Baden-Baden,2012,47.568,Background
Baden-Baden,2013,47.645,Background
Baden-Baden,2014,45.001,Background
Baden-Baden,2015,51.56,Background
Baden-Baden,2016,46.046,Background
Baden-Baden,2017,50.433,Background
Baden-Baden,2018,53.848,Background
Baden-Baden,2019,52.47,Background
Baden-Baden,2020,55.186,Background
Baden-Baden,2021,47.039,Background
Baden-Baden,2022,53.92,Background
Baden-Baden,2023,55.317,Background
Baden-Baden,2024,47.167,Background
Baden-Baden,2025,63.995,Background
Balingen,1990,25.267,Background
Balingen,1991,52.535,Background
Balingen,1992,53.032,Background
Balingen,1993,42.63,Background
Balingen,1994,44.176,Background
Balingen,1995,41.44,Background
Balingen,1996,38.757,Background
Balingen,1997,43.596,Background
Balingen,1998,51.481,Background
Balingen,1999,46.035,Background
Balingen,2000,52.228,Background
Bargteheide,1990,40.855,Background
Bargteheide,1991,41.862,Background
Bargteheide,1992,45.562,Background
Bargteheide,1993,40.624,Background
Bargteheide,1994,47.113,Background
Bargteheide,1995,54.444,Background
Barsbüttel,1996,42.151,Background
Barsbüttel,1997,39.373,Background
Barsbüttel,1998,40.411,Background
Barsbüttel,1999,44.744,Background
Barsbüttel,2000,40.985,Background
Barsbüttel,2001,37.643,Background
Barsbüttel,2002,41.569,Background
Barsbüttel,2003,45.652,Background
Barsbüttel,2004,41.953,Background
Barsbüttel,2005,42.012,Background
Barsbüttel,2006,46.47,Background
Barsbüttel,2007,44.723,Background
Barsbüttel,2008,45.728,Background
Barsbüttel,2009,43.118,Background
Barsbüttel,2010,47.368,Background
Barsbüttel,2011,45.799,Background
Barsbüttel,2012,43.388,Background
Barsbüttel,2013,45.755,Background
Barsbüttel,2014,46.319,Background
Barsbüttel,2015,49.095,Background
Barsbüttel,2016,44.045,Background
Barsbüttel,2017,36.586,Background
Barsbüttel,2018,53.977,Background
Barsbüttel,2019,50.442,Background
Barsbüttel,2020,51.443,Background
Barsbüttel,2021,48.15,Background
Barsbüttel,2022,52.879,Background
Barsbüttel,2023,54.463,Background
Barsbüttel,2024,55.851,Background
Barsbüttel,2025,62.608,Background
Bassum,1988,43.342,Background
Bassum,1989,51.128,Background
Bassum,1990,38.043,Background
Bassum,1991,40.631,Background
Bassum,1992,42.688,Background
Bassum,1993,45.079,Background
Bassum,1994,56.322,Background
Bassum,1995,44.287,Background
Bassum,1996,45.1805,Background
Bassum,1997,45.009,Background
Bassum,1998,44.377,Background
Bassum,1999,51.345,Background
Bassum,2000,45.076,Background
Bassum,2001,44.0295,Background
Bassum,2002,44.076,Background
Bassum,2003,50.421,Background
Bassum,2004,46.985,Background
Bautzen,1995,42.894,Background
Bautzen,1996,44.982,Background
Bautzen,1997,45.055,Background
Bautzen,1998,49.114,Background
Bautzen,1999,48.869,Background
Bautzen,2000,49.12,Background
Bautzen,2001,47.577,Background
Bautzen,2002,51.578,Background
Bautzen,2003,57.269,Background
Bautzen,2004,50.465,Background
Bautzen,2005,53.831,Background
Bautzen,2006,55.178,Background
Bautzen,2007,50.269,Background
Bautzen,2008,49.309,Background
Bautzen,2009,48.812,Background
Bautzen,2010,50.409,Background
Bautzen,2011,50.518,Background
Bautzen,2012,52.617,Background
Bautzen,2013,50.21,Background
Bautzen,2014,48.851,Background
Bautzen,2015,55.826,Background
Bautzen,2016,48.78,Background
Bautzen,2017,51.513,Background
Bautzen,2018,59.356,Background
Bautzen,2019,57.395,Background
Bautzen,2020,53.205,Background
Bautzen,2021,53.529,Background
Bautzen,2022,55.775,Background
Bautzen,2023,57.345,Background
Bautzen,2024,56.845,Background
Bautzen,2025,56.621,Background
Bebra,1990,32.284,Background
Bebra,1991,35.401,Background
Bebra,1992,34.729,Background
Bebra,1993,31.447,Background
Bebra,1994,37.823,Background
Bebra,1995,37.243,Background
Bebra,1996,37.062,Background
Bebra,1997,34.959,Background
Bebra,1998,35.923,Background
Bebra,1999,39.298,Background
Bebra,2000,37.097,Background
Bebra,2001,40.489,Background
Bebra,2002,41.359,Background
Bebra,2003,48.8,Background
Bebra,2004,40.751,Background
Bebra,2005,42.77,Background
Bebra,2006,45.302,Background
Bebra,2007,45.074,Background
Bebra,2008,46.286,Background
Bebra,2009,39.937,Background
Bebra,2010,41.124,Background
Bebra,2011,41.757,Background
Bebra,2012,41.653,Background
Bebra,2013,44.344,Background
Bebra,2014,38.965,Background
Bebra,2015,43.915,Background
Bebra,2016,40.014,Background
Bebra,2017,41.385,Background
Bebra,2018,47.682,Background
Bebra,2019,46.905,Background
Bebra,2020,46.374,Background
Bebra,2021,40.066,Background
Bebra,2022,47.344,Background
Bebra,2023,48.578,Background
Bebra,2024,45.789,Background
Bebra,2025,50.926,Background
Bergen auf Rügen,2013,56.719,Background
Bergen auf Rügen,2014,53.252,Background
Bergen auf Rügen,2015,54.289,Background
Bergen auf Rügen,2016,54.076,Background
Bergen auf Rügen,2017,54.767,Background
Bergen auf Rügen,2018,60.45,Background
Bergen auf Rügen,2019,57.342,Background
Bergen auf Rügen,2020,52.958,Background
Bergen auf Rügen,2021,55.086,Background
Bergen auf Rügen,2022,59.408,Background
Bergen auf Rügen,2023,56.305,Background
Bergen auf Rügen,2024,54.452,Background
Bergen auf Rügen,2025,59.679,Background
Berlin,1988,35.057,Background
Berlin,1988,54.091,Industrial
Berlin,1989,34.62266666666667,Background
Berlin,1989,46.773,Industrial
Berlin,1990,19.041,Traffic
Berlin,1990,31.096,Background
Berlin,1990,42.573499999999996,Industrial
Berlin,1991,27.381,Traffic
Berlin,1991,33.71283333333333,Background
Berlin,1991,43.5195,Industrial
Berlin,1992,29.017000000000003,Traffic
Berlin,1992,40.204166666666666,Background
Berlin,1992,42.537,Industrial
Berlin,1993,25.247999999999998,Traffic
Berlin,1993,34.08128571428571,Background
Berlin,1993,45.897,Industrial
Berlin,1994,28.5685,Traffic
