Berechnungsdatum;Ausgabe;Kreis;Kreisname;Amt;Amtsname;Gemeinde;Gemeindename;Wahlbezirke insg.;Erf. Wahlbezirke;Wahlberechtigte;W�hler;Wahlbeteiligung;Ung�ltige Stimmen;G�ltige Stimmen;CDU;DIE LINKE;SPD;GRÜNE;AfD;FDP;NPD;PIRATEN;ASK Schwerin;AWD;AWGV;ABLR;AfL;AUFBRUCH 09;B�ndnis C;B�rger f�r Stralsund;BVR;B�rgerb�ndnis "Landleben Tollensetal";BG;DKP;DF;FREIE W�HLER;Freier Horizont LUP;Freier Horizont MSE;Freier Horizont VG;Freier Horizont LRO;FPA;FR;Graue;KfV;Die PARTEI;Tierschutzpartei;Pro Aktiv;UB;UFR;Rostocker Bund;WGW;WGK;LUL;W�hlergruppe Adomeit;WLD;Einzelbewerber
05.06.2019 13:48:38;P;71;Mecklenburgische Seenplatte;5152;Friedland;13071037;Galenbeck;3;3;927;536;57,8;4,4;95,6;34,8;18,8;11,2;6,4;15,4;3,8;1,4;2,3;x;x;x;x;x;x;x;x;x;x;x;x;x;2,2;x;3,0;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,7
05.06.2019 13:48:38;A;71;Mecklenburgische Seenplatte;5153;Malchin am Kummerower See;13071007;Basedow;1;1;599;387;64,6;70;1091;449;155;108;65;148;18;6;5;x;x;x;x;x;x;x;x;x;x;x;x;x;128;x;8;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1
05.06.2019 13:48:38;P;71;Mecklenburgische Seenplatte;5153;Malchin am Kummerower See;13071007;Basedow;1;1;599;387;64,6;6,0;94,0;41,2;14,2;9,9;6,0;13,6;1,6;0,5;0,5;x;x;x;x;x;x;x;x;x;x;x;x;x;11,7;x;0,7;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,1
05.06.2019 13:48:38;A;71;Mecklenburgische Seenplatte;5153;Malchin am Kummerower See;13071032;Faulenrost;1;1;549;328;59,7;10;916;403;146;95;42;97;17;7;8;x;x;x;x;x;x;x;x;x;x;x;x;x;85;x;9;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;7
05.06.2019 13:48:38;P;71;Mecklenburgische Seenplatte;5153;Malchin am Kummerower See;13071032;Faulenrost;1;1;549;328;59,7;1,1;98,9;44,0;15,9;10,4;4,6;10,6;1,9;0,8;0,9;x;x;x;x;x;x;x;x;x;x;x;x;x;9,3;x;1,0;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,8
05.06.2019 13:48:38;A;71;Mecklenburgische Seenplatte;5153;Malchin am Kummerower See;13071039;Gielow;1;1;926;580;62,6;97;1643;716;282;179;62;239;20;21;3;x;x;x;x;x;x;x;x;x;x;x;x;x;113;x;6;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;2
05.06.2019 13:48:38;P;71;Mecklenburgische Seenplatte;5153;Malchin am Kummerower See;13071039;Gielow;1;1;926;580;62,6;5,6;94,4;43,6;17,2;10,9;3,8;14,5;1,2;1,3;0,2;x;x;x;x;x;x;x;x;x;x;x;x;x;6,9;x;0,4;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,1
05.06.2019 13:48:38;A;71;Mecklenburgische Seenplatte;5153;Malchin am Kummerower See;13071084;Kummerow;1;1;504;317;62,9;30;910;332;140;97;27;151;14;0;6;x;x;x;x;x;x;x;x;x;x;x;x;x;138;x;5;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0
05.06.2019 13:48:38;P;71;Mecklenburgische Seenplatte;5153;Malchin am Kummerower See;13071084;Kummerow;1;1;504;317;62,9;3,2;96,8;36,5;15,4;10,7;3,0;16,6;1,5;0,0;0,7;x;x;x;x;x;x;x;x;x;x;x;x;x;15,2;x;0,5;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,0
05.06.2019 13:48:38;A;71;Mecklenburgische Seenplatte;5153;Malchin am Kummerower See;13071092;Malchin, Stadt;6;6;6351;3103;48,9;145;8754;3029;1549;1124;362;1442;129;62;28;x;x;x;x;x;x;x;x;x;x;x;x;x;914;x;76;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;39
05.06.2019 13:48:38;P;71;Mecklenburgische Seenplatte;5153;Malchin am Kummerower See;13071092;Malchin, Stadt;6;6;6351;3103;48,9;1,6;98,4;34,6;17,7;12,8;4,1;16,5;1,5;0,7;0,3;x;x;x;x;x;x;x;x;x;x;x;x;x;10,4;x;0,9;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,4
