Ausgabe;Kreis;Kreisname;Amt;Amtsname;Gemeinde;Gemeindename;Wahlbezirke insg.;erf. Wahlbezirke;Wahlberechtigte;Waehler;Wahlbeteiligung;ungueltige Stimmen;gueltige Stimmen;CDU;DIE LINKE;SPD;FDP;GRÜNE;NPD;DIE GRAUEN;REP;Adomeit;AWK;"BfL";RP;Agrarb�ndnis;AfR;APD;AUFBRUCH 09;AUF;Bauernverband;Bv;BBLR;BFR;BsG;BfB;BfS;BB UER;BfP;BG;FORUM;Freie  W�hler;Freie W�hler;FWG;FWG Niepars;F�R Rostock - pro OB;Haus und Grund Rostock;IfA;MUG;Rostocker Bund;SAV;UB;UBL 94;UWG;WG Bv-L�ndlicher Raum;Bauern;WG;WGW;WIK;WGK;KL;WGLR;WPL;WG Prohn;WG SVS 93;WIP;Einzelbewerber;
A;57;Nordvorpommern;5720;Niepars;13057037;Gro� Kordshagen;2;2;329;208;63,2;60;564;258;98;21;42;15;35;x;x;x;x;x;x;x;x;x;x;x;21;x;x;x;x;x;x;x;x;x;x;x;x;x;70;x;x;x;x;x;x;x;x;x;x;x;x;3;x;x;x;x;x;1;x;x;x;
P;57;Nordvorpommern;5720;Niepars;13057037;Gro� Kordshagen;2;2;329;208;63,2;9,6;90,4;45,7;17,4;3,7;7,4;2,7;6,2;x;x;x;x;x;x;x;x;x;x;x;3,7;x;x;x;x;x;x;x;x;x;x;x;x;x;12,4;x;x;x;x;x;x;x;x;x;x;x;x;0,5;x;x;x;x;x;0,2;x;x;x;
A;57;Nordvorpommern;5720;Niepars;13057041;Jakobsdorf;1;1;428;204;47,7;72;521;314;64;52;22;9;13;x;x;x;x;x;x;x;x;x;x;x;16;x;x;x;x;x;x;x;x;x;x;x;x;x;25;x;x;x;x;x;x;x;x;x;x;x;x;1;x;x;x;x;x;5;x;x;x;
P;57;Nordvorpommern;5720;Niepars;13057041;Jakobsdorf;1;1;428;204;47,7;12,1;87,9;60,3;12,3;10,0;4,2;1,7;2,5;x;x;x;x;x;x;x;x;x;x;x;3,1;x;x;x;x;x;x;x;x;x;x;x;x;x;4,8;x;x;x;x;x;x;x;x;x;x;x;x;0,2;x;x;x;x;x;1,0;x;x;x;
A;57;Nordvorpommern;5720;Niepars;13057051;Kummerow;1;1;294;170;57,8;27;468;161;145;24;22;4;31;x;x;x;x;x;x;x;x;x;x;x;10;x;x;x;x;x;x;x;x;x;x;x;x;x;67;x;x;x;x;x;x;x;x;x;x;x;x;2;x;x;x;x;x;2;x;x;x;
P;57;Nordvorpommern;5720;Niepars;13057051;Kummerow;1;1;294;170;57,8;5,5;94,5;34,4;31,0;5,1;4,7;0,9;6,6;x;x;x;x;x;x;x;x;x;x;x;2,1;x;x;x;x;x;x;x;x;x;x;x;x;x;14,3;x;x;x;x;x;x;x;x;x;x;x;x;0,4;x;x;x;x;x;0,4;x;x;x;
A;57;Nordvorpommern;5720;Niepars;13057056;L�ssow;1;1;749;453;60,5;45;1287;684;176;134;72;41;31;x;x;x;x;x;x;x;x;x;x;x;19;x;x;x;x;x;x;x;x;x;x;x;x;x;100;x;x;x;x;x;x;x;x;x;x;x;x;3;x;x;x;x;x;27;x;x;x;
P;57;Nordvorpommern;5720;Niepars;13057056;L�ssow;1;1;749;453;60,5;3,4;96,6;53,1;13,7;10,4;5,6;3,2;2,4;x;x;x;x;x;x;x;x;x;x;x;1,5;x;x;x;x;x;x;x;x;x;x;x;x;x;7,8;x;x;x;x;x;x;x;x;x;x;x;x;0,2;x;x;x;x;x;2,1;x;x;x;
A;57;Nordvorpommern;5720;Niepars;13057060;Neu Bartelshagen;1;1;298;168;56,4;21;469;127;183;51;16;18;20;x;x;x;x;x;x;x;x;x;x;x;7;x;x;x;x;x;x;x;x;x;x;x;x;x;45;x;x;x;x;x;x;x;x;x;x;x;x;0;x;x;x;x;x;2;x;x;x;
P;57;Nordvorpommern;5720;Niepars;13057060;Neu Bartelshagen;1;1;298;168;56,4;4,3;95,7;27,1;39,0;10,9;3,4;3,8;4,3;x;x;x;x;x;x;x;x;x;x;x;1,5;x;x;x;x;x;x;x;x;x;x;x;x;x;9,6;x;x;x;x;x;x;x;x;x;x;x;x;0,0;x;x;x;x;x;0,4;x;x;x;
A;57;Nordvorpommern;5720;Niepars;13057062;Niepars;3;3;1628;909;55,8;48;2664;923;329;122;31;20;68;x;x;x;x;x;x;x;x;x;x;x;24;x;x;x;x;x;x;x;x;x;x;x;x;x;1144;x;x;x;x;x;x;x;x;x;x;x;x;2;x;x;x;x;x;1;x;x;x;
P;57;Nordvorpommern;5720;Niepars;13057062;Niepars;3;3;1628;909;55,8;1,8;98,2;34,6;12,3;4,6;1,2;0,8;2,6;x;x;x;x;x;x;x;x;x;x;x;0,9;x;x;x;x;x;x;x;x;x;x;x;x;x;42,9;x;x;x;x;x;x;x;x;x;x;x;x;0,1;x;x;x;x;x;0,0;x;x;x;
A;57;Nordvorpommern;5720;Niepars;13057064;Pantelitz;1;1;627;324;51,7;16;898;368;154;62;34;24;46;x;x;x;x;x;x;x;x;x;x;x;17;x;x;x;x;x;x;x;x;x;x;x;x;x;193;x;x;x;x;x;x;x;x;x;x;x;x;0;x;x;x;x;x;0;x;x;x;
P;57;Nordvorpommern;5720;Niepars;13057064;Pantelitz;1;1;627;324;51,7;1,8;98,2;41,0;17,1;6,9;3,8;2,7;5,1;x;x;x;x;x;x;x;x;x;x;x;1,9;x;x;x;x;x;x;x;x;x;x;x;x;x;21,5;x;x;x;x;x;x;x;x;x;x;x;x;0,0;x;x;x;x;x;0,0;x;x;x;
A;57;Nordvorpommern;5720;Niepars;13057083;Steinhagen;4;4;2252;1266;56,2;87;3570;1926;449;684;264;85;32;x;x;x;x;x;x;x;x;x;x;x;15;x;x;x;x;x;x;x;x;x;x;x;x;x;80;x;x;x;x;x;x;x;x;x;x;x;x;16;x;x;x;x;x;19;x;x;x;
P;57;Nordvorpommern;5720;Niepars;13057083;Steinhagen;4;4;2252;1266;56,2;2,4;97,6;53,9;12,6;19,2;7,4;2,4;0,9;x;x;x;x;x;x;x;x;x;x;x;0,4;x;x;x;x;x;x;x;x;x;x;x;x;x;2,2;x;x;x;x;x;x;x;x;x;x;x;x;0,4;x;x;x;x;x;0,5;x;x;x;
A;57;Nordvorpommern;5720;Niepars;13057090;Wendorf;1;1;853;412;48,3;15;1180;622;206;113;141;26;29;x;x;x;x;x;x;x;x;x;x;x;3;x;x;x;x;x;x;x;x;x;x;x;x;x;34;x;x;x;x;x;x;x;x;x;x;x;x;2;x;x;x;x;x;4;x;x;x;
P;57;Nordvorpommern;5720;Niepars;13057090;Wendorf;1;1;853;412;48,3;1,3;98,7;52,7;17,5;9,6;11,9;2,2;2,5;x;x;x;x;x;x;x;x;x;x;x;0,3;x;x;x;x;x;x;x;x;x;x;x;x;x;2,9;x;x;x;x;x;x;x;x;x;x;x;x;0,2;x;x;x;x;x;0,3;x;x;x;
A;57;Nordvorpommern;5720;Niepars;13057095;Zarrendorf;1;1;927;450;48,5;72;1253;546;295;116;92;32;74;x;x;x;x;x;x;x;x;x;x;x;21;x;x;x;x;x;x;x;x;x;x;x;x;x;35;x;x;x;x;x;x;x;x;x;x;x;x;33;x;x;x;x;x;9;x;x;x;
P;57;Nordvorpommern;5720;Niepars;13057095;Zarrendorf;1;1;927;450;48,5;5,4;94,6;43,6;23,5;9,3;7,3;2,6;5,9;x;x;x;x;x;x;x;x;x;x;x;1,7;x;x;x;x;x;x;x;x;x;x;x;x;x;2,8;x;x;x;x;x;x;x;x;x;x;x;x;2,6;x;x;x;x;x;0,7;x;x;x;
A;57;Nordvorpommern;5724;Recknitz-Trebeltal;13057006;Bad S�lze, Stadt;2;2;1567;579;36,9;42;1629;624;360;144;112;35;63;x;x;x;x;x;x;x;x;x;x;x;284;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;7;x;x;x;x;x;x;x;x;x;
P;57;Nordvorpommern;5724;Recknitz-Trebeltal;13057006;Bad S�lze, Stadt;2;2;1567;579;36,9;2,5;97,5;38,3;22,1;8,8;6,9;2,1;3,9;x;x;x;x;x;x;x;x;x;x;x;17,4;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,4;x;x;x;x;x;x;x;x;x;
A;57;Nordvorpommern;5724;Recknitz-Trebeltal;13057020;Dettmannsdorf;1;1;903;355;39,3;42;980;428;172;53;71;21;12;x;x;x;x;x;x;x;x;x;x;x;220;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;3;x;x;x;x;x;x;x;x;x;
P;57;Nordvorpommern;5724;Recknitz-Trebeltal;13057020;Dettmannsdorf;1;1;903;355;39,3;4,1;95,9;43,7;17,6;5,4;7,2;2,1;1,2;x;x;x;x;x;x;x;x;x;x;x;22,4;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,3;x;x;x;x;x;x;x;x;x;
A;57;Nordvorpommern;5724;Recknitz-Trebeltal;13057021;Deyelsdorf;1;1;451;196;43,5;8;546;271;141;30;29;11;5;x;x;x;x;x;x;x;x;x;x;x;54;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;5;x;x;x;x;x;x;x;x;x;
P;57;Nordvorpommern;5724;Recknitz-Trebeltal;13057021;Deyelsdorf;1;1;451;196;43,5;1,4;98,6;49,6;25,8;5,5;5,3;2,0;0,9;x;x;x;x;x;x;x;x;x;x;x;9,9;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,9;x;x;x;x;x;x;x;x;x;
A;57;Nordvorpommern;5724;Recknitz-Trebeltal;13057024;Drechow;1;1;233;114;48,9;17;325;178;75;14;24;13;7;x;x;x;x;x;x;x;x;x;x;x;13;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1;x;x;x;x;x;x;x;x;x;
P;57;Nordvorpommern;5724;Recknitz-Trebeltal;13057024;Drechow;1;1;233;114;48,9;5,0;95,0;54,8;23,1;4,3;7,4;4,0;2,2;x;x;x;x;x;x;x;x;x;x;x;4,0;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,3;x;x;x;x;x;x;x;x;x;
A;57;Nordvorpommern;5724;Recknitz-Trebeltal;13057026;Eixen;3;3;707;327;46,3;30;898;195;318;115;166;21;24;x;x;x;x;x;x;x;x;x;x;x;58;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1;x;x;x;x;x;x;x;x;x;
P;57;Nordvorpommern;5724;Recknitz-Trebeltal;13057026;Eixen;3;3;707;327;46,3;3,2;96,8;21,7;35,4;12,8;18,5;2,3;2,7;x;x;x;x;x;x;x;x;x;x;x;6,5;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,1;x;x;x;x;x;x;x;x;x;
A;57;Nordvorpommern;5724;Recknitz-Trebeltal;13057031;Grammendorf;1;1;500;277;55,4;8;791;425;199;47;17;20;31;x;x;x;x;x;x;x;x;x;x;x;46;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;6;x;x;x;x;x;x;x;x;x;
P;57;Nordvorpommern;5724;Recknitz-Trebeltal;13057031;Grammendorf;1;1;500;277;55,4;1,0;99,0;53,7;25,2;5,9;2,1;2,5;3,9;x;x;x;x;x;x;x;x;x;x;x;5,8;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,8;x;x;x;x;x;x;x;x;x;
A;57;Nordvorpommern;5724;Recknitz-Trebeltal;13057032;Gransebieth;1;1;513;317;61,8;66;864;472;209;67;23;22;13;x;x;x;x;x;x;x;x;x;x;x;49;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;9;x;x;x;x;x;x;x;x;x;
P;57;Nordvorpommern;5724;Recknitz-Trebeltal;13057032;Gransebieth;1;1;513;317;61,8;7,1;92,9;54,6;24,2;7,8;2,7;2,5;1,5;x;x;x;x;x;x;x;x;x;x;x;5,7;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1,0;x;x;x;x;x;x;x;x;x;
A;57;Nordvorpommern;5724;Recknitz-Trebeltal;13057040;Hugoldsdorf;1;1;107;40;37,4;6;112;52;23;5;15;8;0;x;x;x;x;x;x;x;x;x;x;x;7;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;2;x;x;x;x;x;x;x;x;x;
P;57;Nordvorpommern;5724;Recknitz-Trebeltal;13057040;Hugoldsdorf;1;1;107;40;37,4;5,1;94,9;46,4;20,5;4,5;13,4;7,1;0,0;x;x;x;x;x;x;x;x;x;x;x;6,3;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1,8;x;x;x;x;x;x;x;x;x;
A;57;Nordvorpommern;5724;Recknitz-Trebeltal;13057085;Tribsees, Stadt;4;4;2531;1195;47,2;199;3311;2168;682;158;107;40;62;x;x;x;x;x;x;x;x;x;x;x;73;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;21;x;x;x;x;x;x;x;x;x;
P;57;Nordvorpommern;5724;Recknitz-Trebeltal;13057085;Tribsees, Stadt;4;4;2531;1195;47,2;5,7;94,3;65,5;20,6;4,8;3,2;1,2;1,9;x;x;x;x;x;x;x;x;x;x;x;2,2;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,6;x;x;x;x;x;x;x;x;x;
A;57;Nordvorpommern;5724;Recknitz-Trebeltal;13057103;Lindholz;3;3;627;299;47,7;42;847;431;203;83;39;25;12;x;x;x;x;x;x;x;x;x;x;x;51;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;3;x;x;x;x;x;x;x;x;x;
P;57;Nordvorpommern;5724;Recknitz-Trebeltal;13057103;Lindholz;3;3;627;299;47,7;4,7;95,3;50,9;24,0;9,8;4,6;3,0;1,4;x;x;x;x;x;x;x;x;x;x;x;6,0;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,4;x;x;x;x;x;x;x;x;x;
A;57;Nordvorpommern;5725;Ribnitz-Damgarten;13057074;Ribnitz-Damgarten, Stadt;20;20;13846;5969;43,1;625;16940;6873;3333;3402;2037;377;554;x;x;x;x;x;x;x;x;x;x;x;317;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;47;x;x;x;x;x;x;x;x;x;
P;57;Nordvorpommern;5725;Ribnitz-Damgarten;13057074;Ribnitz-Damgarten, Stadt;20;20;13846;5969;43,1;3,6;96,4;40,6;19,7;20,1;12,0;2,2;3,3;x;x;x;x;x;x;x;x;x;x;x;1,9;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,3;x;x;x;x;x;x;x;x;x;
A;57;Nordvorpommern;5725;Ribnitz-Damgarten;13057077;Schlemmin;1;1;267;145;54,3;18;411;207;67;26;44;20;21;x;x;x;x;x;x;x;x;x;x;x;26;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0;x;x;x;x;x;x;x;x;x;
P;57;Nordvorpommern;5725;Ribnitz-Damgarten;13057077;Schlemmin;1;1;267;145;54,3;4,2;95,8;50,4;16,3;6,3;10,7;4,9;5,1;x;x;x;x;x;x;x;x;x;x;x;6,3;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,0;x;x;x;x;x;x;x;x;x;
A;57;Nordvorpommern;5725;Ribnitz-Damgarten;13057079;Semlow;1;1;672;329;49,0;99;868;210;380;107;71;32;29;x;x;x;x;x;x;x;x;x;x;x;38;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1;x;x;x;x;x;x;x;x;x;
P;57;Nordvorpommern;5725;Ribnitz-Damgarten;13057079;Semlow;1;1;672;329;49,0;10,2;89,8;24,2;43,8;12,3;8,2;3,7;3,3;x;x;x;x;x;x;x;x;x;x;x;4,4;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,1;x;x;x;x;x;x;x;x;x;
A;57;Nordvorpommern;5725;Ribnitz-Damgarten;13057102;Ahrenshagen-Daskow;4;4;1831;880;48,1;142;2450;935;411;282;236;75;116;x;x;x;x;x;x;x;x;x;x;x;393;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;2;x;x;x;x;x;x;x;x;x;
P;57;Nordvorpommern;5725;Ribnitz-Damgarten;13057102;Ahrenshagen-Daskow;4;4;1831;880;48,1;5,5;94,5;38,2;16,8;11,5;9,6;3,1;4,7;x;x;x;x;x;x;x;x;x;x;x;16,0;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,1;x;x;x;x;x;x;x;x;x;
A;57;Nordvorpommern;5726;Barth;13057008;Bartelshagen II b. Barth;1;1;375;191;50,9;48;504;226;68;81;34;21;29;x;x;x;x;x;x;x;x;x;x;x;45;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0;x;x;x;x;x;x;x;x;x;
P;57;Nordvorpommern;5726;Barth;13057008;Bartelshagen II b. Barth;1;1;375;191;50,9;8,7;91,3;44,8;13,5;16,1;6,7;4,2;5,8;x;x;x;x;x;x;x;x;x;x;x;8,9;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,0;x;x;x;x;x;x;x;x;x;
A;57;Nordvorpommern;5726;Barth;13057009;Barth, Stadt;11;11;7765;3163;40,7;337;8721;3517;1163;2523;995;160;286;x;x;x;x;x;x;x;x;x;x;x;61;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;16;x;x;x;x;x;x;x;x;x;
P;57;Nordvorpommern;5726;Barth;13057009;Barth, Stadt;11;11;7765;3163;40,7;3,7;96,3;40,3;13,3;28,9;11,4;1,8;3,3;x;x;x;x;x;x;x;x;x;x;x;0,7;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,2;x;x;x;x;x;x;x;x;x;
A;57;Nordvorpommern;5726;Barth;13057029;Fuhlendorf;1;1;762;394;51,7;87;1095;534;204;207;90;18;17;x;x;x;x;x;x;x;x;x;x;x;23;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;2;x;x;x;x;x;x;x;x;x;
P;57;Nordvorpommern;5726;Barth;13057029;Fuhlendorf;1;1;762;394;51,7;7,4;92,6;48,8;18,6;18,9;8,2;1,6;1,6;x;x;x;x;x;x;x;x;x;x;x;2,1;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,2;x;x;x;x;x;x;x;x;x;
A;57;Nordvorpommern;5726;Barth;13057043;Karnin;1;1;214;121;56,5;9;354;137;52;61;81;12;8;x;x;x;x;x;x;x;x;x;x;x;2;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1;x;x;x;x;x;x;x;x;x;
P;57;Nordvorpommern;5726;Barth;13057043;Karnin;1;1;214;121;56,5;2,5;97,5;38,7;14,7;17,2;22,9;3,4;2,3;x;x;x;x;x;x;x;x;x;x;x;0,6;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,3;x;x;x;x;x;x;x;x;x;
A;57;Nordvorpommern;5726;Barth;13057054;L�bnitz;1;1;591;291;49,2;73;800;416;128;94;59;4;59;x;x;x;x;x;x;x;x;x;x;x;40;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0;x;x;x;x;x;x;x;x;x;
P;57;Nordvorpommern;5726;Barth;13057054;L�bnitz;1;1;591;291;49,2;8,4;91,6;52,0;16,0;11,8;7,4;0,5;7,4;x;x;x;x;x;x;x;x;x;x;x;5,0;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,0;x;x;x;x;x;x;x;x;x;
A;57;Nordvorpommern;5726;Barth;13057055;L�dershagen;1;1;495;329;66,5;48;918;414;139;181;83;25;31;x;x;x;x;x;x;x;x;x;x;x;44;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1;x;x;x;x;x;x;x;x;x;
P;57;Nordvorpommern;5726;Barth;13057055;L�dershagen;1;1;495;329;66,5;5,0;95,0;45,1;15,1;19,7;9,0;2,7;3,4;x;x;x;x;x;x;x;x;x;x;x;4,8;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,1;x;x;x;x;x;x;x;x;x;
A;57;Nordvorpommern;5726;Barth;13057070;Pruchten;2;2;648;308;47,5;12;898;353;176;224;103;10;12;x;x;x;x;x;x;x;x;x;x;x;19;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1;x;x;x;x;x;x;x;x;x;
P;57;Nordvorpommern;5726;Barth;13057070;Pruchten;2;2;648;308;47,5;1,3;98,7;39,3;19,6;24,9;11,5;1,1;1,3;x;x;x;x;x;x;x;x;x;x;x;2,1;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,1;x;x;x;x;x;x;x;x;x;
A;57;Nordvorpommern;5726;Barth;13057076;Saal;1;1;1061;518;48,8;117;1409;573;314;173;143;80;48;x;x;x;x;x;x;x;x;x;x;x;74;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;4;x;x;x;x;x;x;x;x;x;
P;57;Nordvorpommern;5726;Barth;13057076;Saal;1;1;1061;518;48,8;7,7;92,3;40,7;22,3;12,3;10,1;5,7;3,4;x;x;x;x;x;x;x;x;x;x;x;5,3;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,3;x;x;x;x;x;x;x;x;x;
A;57;Nordvorpommern;5726;Barth;13057086;Trinwillershagen;2;2;1127;483;42,9;17;1379;614;213;160;69;28;62;x;x;x;x;x;x;x;x;x;x;x;233;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0;x;x;x;x;x;x;x;x;x;
P;57;Nordvorpommern;5726;Barth;13057086;Trinwillershagen;2;2;1127;483;42,9;1,2;98,8;44,5;15,4;11,6;5,0;2,0;4,5;x;x;x;x;x;x;x;x;x;x;x;16,9;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,0;x;x;x;x;x;x;x;x;x;
A;57;Nordvorpommern;5726;Barth;13057098;Divitz-Spoldershagen;2;2;407;208;51,1;15;595;319;101;74;40;9;29;x;x;x;x;x;x;x;x;x;x;x;22;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1;x;x;x;x;x;x;x;x;x;
P;57;Nordvorpommern;5726;Barth;13057098;Divitz-Spoldershagen;2;2;407;208;51,1;2,5;97,5;53,6;17,0;12,4;6,7;1,5;4,9;x;x;x;x;x;x;x;x;x;x;x;3,7;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,2;x;x;x;x;x;x;x;x;x;
A;57;Nordvorpommern;5726;Barth;13057101;Kenz-K�strow;2;2;461;285;61,8;84;762;355;128;118;94;10;30;x;x;x;x;x;x;x;x;x;x;x;27;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0;x;x;x;x;x;x;x;x;x;
P;57;Nordvorpommern;5726;Barth;13057101;Kenz-K�strow;2;2;461;285;61,8;9,9;90,1;46,6;16,8;15,5;12,3;1,3;3,9;x;x;x;x;x;x;x;x;x;x;x;3,5;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,0;x;x;x;x;x;x;x;x;x;
A;58;Nordwestmecklenburg;5801;Boltenhagen;13058014;Boltenhagen;4;4;2215;1215;54,9;46;3482;1232;516;971;463;140;66;x;x;x;x;x;x;x;x;x;x;x;x;50;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;13;x;x;x;x;x;x;x;x;x;31;
P;58;Nordwestmecklenburg;5801;Boltenhagen;13058014;Boltenhagen;4;4;2215;1215;54,9;1,3;98,7;35,4;14,8;27,9;13,3;4,0;1,9;x;x;x;x;x;x;x;x;x;x;x;x;1,4;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,4;x;x;x;x;x;x;x;x;x;0,9;
A;58;Nordwestmecklenburg;5803;Grevesm�hlen, Stadt;13058034;Grevesm�hlen, Stadt;9;9;9529;3959;41,5;280;11396;3015;2037;4633;469;332;492;x;x;x;x;x;x;x;x;x;x;x;x;266;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;16;x;x;x;x;x;x;x;20;x;116;
P;58;Nordwestmecklenburg;5803;Grevesm�hlen, Stadt;13058034;Grevesm�hlen, Stadt;9;9;9529;3959;41,5;2,4;97,6;26,5;17,9;40,7;4,1;2,9;4,3;x;x;x;x;x;x;x;x;x;x;x;x;2,3;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,1;x;x;x;x;x;x;x;0,2;x;1,0;
A;58;Nordwestmecklenburg;5804;Insel Poel;13058050;Insel Poel;3;3;2363;1210;51,2;90;3488;1495;712;800;162;84;109;x;x;x;x;x;x;x;x;x;x;x;x;73;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;14;x;x;x;x;x;x;x;x;x;39;
P;58;Nordwestmecklenburg;5804;Insel Poel;13058050;Insel Poel;3;3;2363;1210;51,2;2,5;97,5;42,9;20,4;22,9;4,6;2,4;3,1;x;x;x;x;x;x;x;x;x;x;x;x;2,1;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,4;x;x;x;x;x;x;x;x;x;1,1;
A;58;Nordwestmecklenburg;5815;Grevesm�hlen-Land;13058008;Bernstorf;1;1;261;115;44,1;15;329;66;67;58;22;19;27;x;x;x;x;x;x;x;x;x;x;x;x;59;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0;x;x;x;x;x;x;x;0;x;11;
P;58;Nordwestmecklenburg;5815;Grevesm�hlen-Land;13058008;Bernstorf;1;1;261;115;44,1;4,4;95,6;20,1;20,4;17,6;6,7;5,8;8,2;x;x;x;x;x;x;x;x;x;x;x;x;17,9;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;0,0;x;x;x;x;x;x;x;0,0;x;3,3;
