Ausgabe;Kreis;Kreisname;Amt;Amtsname;Gemeinde;Gemeindename;Wahlbezirke insg.;erf. Wahlbezirke;Wahlberechtigte;Waehler;Wahlbeteiligung;ungueltige Stimmen;gueltige Stimmen;CDU;DIE LINKE;SPD;FDP;GRÜNE;NPD;DIE GRAUEN;REP;Adomeit;AWK;"BfL";RP;Agrarb�ndnis;AfR;APD;AUFBRUCH 09;AUF;Bauernverband;Bv;BBLR;BFR;BsG;BfB;BfS;BB UER;BfP;BG;FORUM;Freie  W�hler;Freie W�hler;FWG;FWG Niepars;F�R Rostock - pro OB;Haus und Grund Rostock;IfA;MUG;Rostocker Bund;SAV;UB;UBL 94;UWG;WG Bv-L�ndlicher Raum;Bauern;WG;WGW;WIK;WGK;KL;WGLR;WPL;WG Prohn;WG SVS 93;WIP;Einzelbewerber;
A;53;G�strow;5304;Teterow, Stadt;13053087;Teterow, Stadt;6;6;7971;2866;36,0;149;8342;2834;1770;1292;295;127;292;x;x;x;x;x;x;x;x;x;x;213;x;x;x;x;x;x;x;x;x;x;x;x;363;40;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1116;
P;53;G�strow;5304;Teterow, Stadt;13053087;Teterow, Stadt;6;6;7971;2866;36,0;1,8;98,2;34,0;21,2;15,5;3,5;1,5;3,5;x;x;x;x;x;x;x;x;x;x;2,6;x;x;x;x;x;x;x;x;x;x;x;x;4,4;0,5;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;13,4;
A;53;G�strow;5311;B�tzow-Land;13053004;Baumgarten;3;3;733;430;58,7;78;1200;388;178;371;51;80;31;x;x;x;x;x;x;x;x;x;x;10;x;x;x;x;x;x;x;x;x;x;x;x;8;1;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;82;
P;53;G�strow;5311;B�tzow-Land;13053004;Baumgarten;3;3;733;430;58,7;6,1;93,9;32,3;14,8;30,9;4,3;6,7;2,6;x;x;x;x;x;x;x;x;x;x;0,8;x;x;x;x;x;x;x;x;x;x;x;x;0,7;0,1;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;6,8;
A;53;G�strow;5311;B�tzow-Land;13053007;Bernitt;5;5;1461;663;45,4;90;1849;821;380;274;93;59;60;x;x;x;x;x;x;x;x;x;x;5;x;x;x;x;x;x;x;x;x;x;x;x;15;3;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;139;
P;53;G�strow;5311;B�tzow-Land;13053007;Bernitt;5;5;1461;663;45,4;4,6;95,4;44,4;20,6;14,8;5,0;3,2;3,2;x;x;x;x;x;x;x;x;x;x;0,3;x;x;x;x;x;x;x;x;x;x;x;x;0,8;0,2;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;7,5;
A;53;G�strow;5311;B�tzow-Land;13053013;B�tzow, Stadt;7;7;6785;2625;38,7;267;7174;2590;1429;1700;193;117;205;x;x;x;x;x;x;x;x;x;x;42;x;x;x;x;x;x;x;x;x;x;x;x;29;26;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;843;
P;53;G�strow;5311;B�tzow-Land;13053013;B�tzow, Stadt;7;7;6785;2625;38,7;3,6;96,4;36,1;19,9;23,7;2,7;1,6;2,9;x;x;x;x;x;x;x;x;x;x;0,6;x;x;x;x;x;x;x;x;x;x;x;x;0,4;0,4;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;11,8;
A;53;G�strow;5311;B�tzow-Land;13053019;Dreetz;1;1;182;136;74,7;15;390;155;37;96;13;23;21;x;x;x;x;x;x;x;x;x;x;1;x;x;x;x;x;x;x;x;x;x;x;x;2;1;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;41;
P;53;G�strow;5311;B�tzow-Land;13053019;Dreetz;1;1;182;136;74,7;3,7;96,3;39,7;9,5;24,6;3,3;5,9;5,4;x;x;x;x;x;x;x;x;x;x;0,3;x;x;x;x;x;x;x;x;x;x;x;x;0,5;0,3;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;10,5;
