Berechnungsdatum;Ausgabe;Kreis;Kreisname;Amt;Amtsname;Gemeinde;Gemeindename;Wahlbezirke insg.;erf. Wahlbezirke;Wahlberechtigte;Waehler;Wahlbeteiligung;ungueltige Stimmen;gueltige Stimmen;CDU;SPD;DIE LINKE;GRÜNE;NPD;FDP;PIRATEN;AUF;RENTNER;[ASK];AB gegen WK- Ausbau;AWD;Allianz Bauern u. LR;AfD;AfL;AL;AUFBRUCH 09;Bauernverband;BFR;B�rger f�r Stralsund;BBG;BG;Freie W�hler LUP;Freie W�hler MSP;Freie W�hler LRO;Freie W�hler NWM;GRAUE;KfV;LUL;UB;UFR;UBL 94;Rostocker Bund;WG BV-LR;WGB;WG B;WGW;WGLR;WG Upahl-Hanshagen;WG "W�bbelin";Adomeit;WIR;Einzelbewerber
03.06.2014 08:19:06;P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071112;Nossendorf;1;1;638;301;47,2;2,4;97,6;39,8;20,5;19,1;1,3;5,1;2,4;0,0;x;x;x;0,2;x;x;3,9;x;x;x;x;x;x;x;x;x;7,4;x;x;x;x;x;x;x;x;x;x;x;x;x;0,1;x;x;x;x;0,1
03.06.2014 08:19:06;A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071128;Sarow;1;1;620;277;44,7;40;791;347;88;154;13;49;7;7;x;x;x;5;x;x;23;x;x;x;x;x;x;x;x;x;24;x;x;x;x;x;x;x;x;x;x;x;x;x;74;x;x;x;x;0
03.06.2014 08:19:06;P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071128;Sarow;1;1;620;277;44,7;4,8;95,2;43,9;11,1;19,5;1,6;6,2;0,9;0,9;x;x;x;0,6;x;x;2,9;x;x;x;x;x;x;x;x;x;3,0;x;x;x;x;x;x;x;x;x;x;x;x;x;9,4;x;x;x;x;0,0
03.06.2014 08:19:06;A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071131;Sch�nfeld;1;1;342;212;62,0;15;608;181;183;106;26;27;21;8;x;x;x;2;x;x;6;x;x;x;x;x;x;x;x;x;31;x;x;x;x;x;x;x;x;x;x;x;x;x;15;x;x;x;x;2
03.06.2014 08:19:06;P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071131;Sch�nfeld;1;1;342;212;62,0;2,4;97,6;29,8;30,1;17,4;4,3;4,4;3,5;1,3;x;x;x;0,3;x;x;1,0;x;x;x;x;x;x;x;x;x;5,1;x;x;x;x;x;x;x;x;x;x;x;x;x;2,5;x;x;x;x;0,3
03.06.2014 08:19:06;A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071136;Siedenbr�nzow;2;2;459;261;56,9;13;748;321;87;160;14;53;13;6;x;x;x;8;x;x;13;x;x;x;x;x;x;x;x;x;70;x;x;x;x;x;x;x;x;x;x;x;x;x;2;x;x;x;x;1
03.06.2014 08:19:06;P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071136;Siedenbr�nzow;2;2;459;261;56,9;1,7;98,3;42,9;11,6;21,4;1,9;7,1;1,7;0,8;x;x;x;1,1;x;x;1,7;x;x;x;x;x;x;x;x;x;9,4;x;x;x;x;x;x;x;x;x;x;x;x;x;0,3;x;x;x;x;0,1
03.06.2014 08:19:06;A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071139;Sommersdorf;1;1;218;147;67,4;33;396;127;54;86;44;27;9;6;x;x;x;2;x;x;13;x;x;x;x;x;x;x;x;x;18;x;x;x;x;x;x;x;x;x;x;x;x;x;9;x;x;x;x;1
03.06.2014 08:19:06;P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071139;Sommersdorf;1;1;218;147;67,4;7,7;92,3;32,1;13,6;21,7;11,1;6,8;2,3;1,5;x;x;x;0,5;x;x;3,3;x;x;x;x;x;x;x;x;x;4,5;x;x;x;x;x;x;x;x;x;x;x;x;x;2,3;x;x;x;x;0,3
03.06.2014 08:19:06;A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071148;Utzedel;2;2;411;231;56,2;15;667;364;83;97;5;29;1;4;x;x;x;6;x;x;13;x;x;x;x;x;x;x;x;x;51;x;x;x;x;x;x;x;x;x;x;x;x;x;12;x;x;x;x;2
03.06.2014 08:19:06;P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071148;Utzedel;2;2;411;231;56,2;2,2;97,8;54,6;12,4;14,5;0,7;4,3;0,1;0,6;x;x;x;0,9;x;x;1,9;x;x;x;x;x;x;x;x;x;7,6;x;x;x;x;x;x;x;x;x;x;x;x;x;1,8;x;x;x;x;0,3
03.06.2014 08:19:06;A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071150;Verchen;1;1;360;185;51,4;34;521;215;101;103;22;13;14;3;x;x;x;1;x;x;21;x;x;x;x;x;x;x;x;x;23;x;x;x;x;x;x;x;x;x;x;x;x;x;4;x;x;x;x;1
03.06.2014 08:19:06;P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071150;Verchen;1;1;360;185;51,4;6,1;93,9;41,3;19,4;19,8;4,2;2,5;2,7;0,6;x;x;x;0,2;x;x;4,0;x;x;x;x;x;x;x;x;x;4,4;x;x;x;x;x;x;x;x;x;x;x;x;x;0,8;x;x;x;x;0,2
03.06.2014 08:19:06;A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071157;Warrenzin;1;1;359;185;51,5;18;531;258;79;74;9;23;11;5;x;x;x;2;x;x;27;x;x;x;x;x;x;x;x;x;38;x;x;x;x;x;x;x;x;x;x;x;x;x;5;x;x;x;x;0
03.06.2014 08:19:06;P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071157;Warrenzin;1;1;359;185;51,5;3,3;96,7;48,6;14,9;13,9;1,7;4,3;2,1;0,9;x;x;x;0,4;x;x;5,1;x;x;x;x;x;x;x;x;x;7,2;x;x;x;x;x;x;x;x;x;x;x;x;x;0,9;x;x;x;x;0,0
03.06.2014 08:19:06;A;71;Mecklenburgische Seenplatte;5152;Friedland;13071028;Datzetal;2;2;753;446;59,2;36;1276;587;160;335;37;54;17;4;x;x;x;6;x;x;64;x;x;x;x;x;x;x;x;x;8;x;x;x;x;x;x;x;x;x;x;x;x;x;1;x;x;x;x;3
03.06.2014 08:19:06;P;71;Mecklenburgische Seenplatte;5152;Friedland;13071028;Datzetal;2;2;753;446;59,2;2,7;97,3;46,0;12,5;26,3;2,9;4,2;1,3;0,3;x;x;x;0,5;x;x;5,0;x;x;x;x;x;x;x;x;x;0,6;x;x;x;x;x;x;x;x;x;x;x;x;x;0,1;x;x;x;x;0,2
03.06.2014 08:19:06;A;71;Mecklenburgische Seenplatte;5152;Friedland;13071035;Friedland, Stadt;9;9;5941;2336;39,3;175;6717;3161;943;1212;141;654;194;67;x;x;x;51;x;x;256;x;x;x;x;x;x;x;x;x;16;x;x;x;x;x;x;x;x;x;x;x;x;x;14;x;x;x;x;8
03.06.2014 08:19:06;P;71;Mecklenburgische Seenplatte;5152;Friedland;13071035;Friedland, Stadt;9;9;5941;2336;39,3;2,5;97,5;47,1;14,0;18,0;2,1;9,7;2,9;1,0;x;x;x;0,8;x;x;3,8;x;x;x;x;x;x;x;x;x;0,2;x;x;x;x;x;x;x;x;x;x;x;x;x;0,2;x;x;x;x;0,1
03.06.2014 08:19:06;A;71;Mecklenburgische Seenplatte;5152;Friedland;13071037;Galenbeck;3;3;1042;556;53,4;47;1601;549;505;277;38;110;25;30;x;x;x;10;x;x;33;x;x;x;x;x;x;x;x;x;18;x;x;x;x;x;x;x;x;x;x;x;x;x;6;x;x;x;x;0
