Air Quality Station EoI Code,Air Pollutant,Year,Air Pollution Level,Unit Of Air Pollution Level,Air Quality Station Type,Air Quality Station Area,State,District,City
DEBE026,SO2,1990,34.0,ug/m3,Industrial,rural,BE,Berlin,Berlin
DEBE027,SO2,1990,193.25,ug/m3,Industrial,rural,BE,Berlin,Berlin
DEBW012,SO2,1990,12.55,ug/m3,Background,urban,BW,Stuttgart,Stuttgart
DEBW012,SO2,1990,0.0,count,Background,urban,BW,Stuttgart,Stuttgart
DEBE029,SO2,1990,27.0,ug/m3,Background,suburban,BE,Berlin,Berlin
DEBE032,SO2,1990,32.476,ug/m3,Background,rural,BE,Berlin,Berlin
DEBW083,SO2,1990,71.0,ug/m3,Traffic,urban,BW,Freiburg im Breisgau,Freiburg im Breisgau
DEBW083,O3,1990,43001.0,ug/m3,Traffic,urban,BW,Freiburg im Breisgau,Freiburg im Breisgau
DEBW083,NO2,1990,32.163,ug/m3,Traffic,urban,BW,Freiburg im Breisgau,Freiburg im Breisgau
DEBW014,SO2,1990,98.3,ug/m3,Industrial,suburban,BW,Stuttgart,Stuttgart
DEBW014,O3,1990,266.2,ug/m3,Industrial,suburban,BW,Stuttgart,Stuttgart
DEBW011,SO2,1990,107.9,ug/m3,Traffic,urban,BW,Stuttgart,Stuttgart
DEBW012,SO2,1990,52.35,ug/m3,Background,urban,BW,Stuttgart,Stuttgart
DEBW012,O3,1990,111.121,ug/m3,Background,urban,BW,Stuttgart,Stuttgart
DEBW012,O3,1990,182.95,ug/m3,Background,urban,BW,Stuttgart,Stuttgart
DEBW012,O3,1990,114.544,ug/m3,Background,urban,BW,Stuttgart,Stuttgart
DEHE017,NO2,1990,173.5,ug/m3,Background,urban,HE,Offenbach am Main,Offenbach am Main
DEBW002,SO2,1990,112.85,ug/m3,Traffic,urban,BW,Karlsruhe (Stadtkreis),Karlsruhe
DEHE017,NO2,1990,41.5,ug/m3,Background,urban,HE,Offenbach am Main,Offenbach am Main
DEHE004,NO2,1990,53.0,ug/m3,Traffic,urban,HE,Frankfurt am Main,Frankfurt am Main
DEHH006,SO2,1990,7.0,count,Background,urban,HH,Hamburg,Hamburg
DEHH006,O3,1990,100.083,ug/m3,Background,urban,HH,Hamburg,Hamburg
DEBE033,O3,1990,3808.0,ug/m3,Industrial,urban,BE,Berlin,Berlin
DEBE034,SO2,1990,42.333,ug/m3,Background,urban,BE,Berlin,Berlin
DEBE034,SO2,1990,37.0,count,Background,urban,BE,Berlin,Berlin
DEHE007,O3,1990,2012.0,ug/m3,Traffic,urban,HE,Frankfurt am Main,Frankfurt am Main
DEHE007,O3,1990,18.459,ug/m3,Traffic,urban,HE,Frankfurt am Main,Frankfurt am Main
DEHE007,O3,1990,2.0,count,Traffic,urban,HE,Frankfurt am Main,Frankfurt am Main
DEHE007,O3,1990,143.375,ug/m3,Traffic,urban,HE,Frankfurt am Main,Frankfurt am Main
DEHE007,NO2,1990,83.955,ug/m3,Traffic,urban,HE,Frankfurt am Main,Frankfurt am Main
DEBE035,SO2,1990,332.0,ug/m3,Industrial,urban,BE,Berlin,Berlin
DEBW002,O3,1990,15612.0,ug/m3,Traffic,urban,BW,Karlsruhe (Stadtkreis),Karlsruhe
DEHE008,SO2,1990,78.021,ug/m3,Background,urban,HE,Frankfurt am Main,Frankfurt am Main
DEBW002,O3,1990,14.0,count,Traffic,urban,BW,Karlsruhe (Stadtkreis),Karlsruhe
DEHH009,SO2,1990,322.0,ug/m3,Traffic,urban,HH,Hamburg,Hamburg
DEHE010,SO2,1990,17.117,ug/m3,Background,urban,HE,Gießen,Gießen
DEHE010,SO2,1990,83.457,ug/m3,Background,urban,HE,Gießen,Gießen
DEHE010,SO2,1990,0.0,count,Background,urban,HE,Gießen,Gießen
DEHH009,NO2,1990,2.0,count,Traffic,urban,HH,Hamburg,Hamburg
DEBW012,NO2,1990,175.35,ug/m3,Background,urban,BW,Stuttgart,Stuttgart
