Air Quality Station EoI Code,Air Pollutant,Year,Air Pollution Level,Unit Of Air Pollution Level,Air Quality Station Type,Air Quality Station Area,State,District,City
DEBY014,CO,2021,0.266,mg/m3,Traffic,Urban,BY,Coburg (Kreisfreie Stadt),Coburg
DEBW125,CO,2015,0.332,mg/m3,Traffic,Suburban,BW,Karlsruhe,Pfinztal
DEBB088,CO,2013,0.201,mg/m3,Industrial,Suburban,BB,Havelland,Premnitz
DEBE061,CO,2014,0.496,mg/m3,Traffic,Urban,BE,Berlin,Berlin
DEBE061,CO,2015,0.376,mg/m3,Traffic,Urban,BE,Berlin,Berlin
DEBW099,CO,2013,0.356,mg/m3,Traffic,Urban,BW,Stuttgart,Stuttgart
DEBW099,CO,2015,0.32,mg/m3,Traffic,Urban,BW,Stuttgart,Stuttgart
DEBW022,CO,2016,0.145,mg/m3,Industrial,Suburban,BW,Ortenaukreis,Kehl
DEBE061,CO,2013,0.437,mg/m3,Traffic,Urban,BE,Berlin,Berlin
DEBE061,CO,2022,0.289,mg/m3,Traffic,Urban,BE,Berlin,Berlin
DEBW099,CO,2016,0.288,mg/m3,Traffic,Urban,BW,Stuttgart,Stuttgart
DEBW099,CO,2023,0.193,mg/m3,Traffic,Urban,BW,Stuttgart,Stuttgart
DEBW099,CO,2025,0.343,mg/m3,Traffic,Urban,BW,Stuttgart,Stuttgart
DEBY001,CO,2014,0.358,mg/m3,Traffic,Urban,BY,Ansbach (Kreisfreie Stadt),Ansbach
DEBY063,CO,2014,0.367,mg/m3,Traffic,Urban,BY,Regensburg (Kreisfreie Stadt),Regensburg
DEBY063,CO,2019,0.322,mg/m3,Traffic,Urban,BY,Regensburg (Kreisfreie Stadt),Regensburg
DEBY035,CO,2016,0.311,mg/m3,Traffic,Urban,BY,Lindau (Bodensee),Lindau (Bodensee)
DEBY021,CO,2018,0.295,mg/m3,Traffic,Urban,BY,Ingolstadt,Ingolstadt
DEBW029,CO,2015,0.185,mg/m3,Background,Suburban,BW,Ostalbkreis,Aalen
DEBY037,CO,2014,0.427,mg/m3,Traffic,Urban,BY,München (Kreisfreie Stadt),München
DEBY037,CO,2025,0.303,mg/m3,Traffic,Urban,BY,München (Kreisfreie Stadt),München
DEBY006,CO,2019,0.283,mg/m3,Traffic,Urban,BY,Augsburg (Kreisfreie Stadt),Augsburg
DEBY006,CO,2021,0.265,mg/m3,Traffic,Urban,BY,Augsburg (Kreisfreie Stadt),Augsburg
DEBY006,CO,2023,0.253,mg/m3,Traffic,Urban,BY,Augsburg (Kreisfreie Stadt),Augsburg
DEHB001,CO,2016,0.252,mg/m3,Background,Urban,HB,Bremen,Bremen
DEBY063,CO,2025,0.465,mg/m3,Traffic,Urban,BY,Regensburg (Kreisfreie Stadt),Regensburg
DEBY006,CO,2017,0.284,mg/m3,Traffic,Urban,BY,Augsburg (Kreisfreie Stadt),Augsburg
DEBY006,CO,2018,0.302,mg/m3,Traffic,Urban,BY,Augsburg (Kreisfreie Stadt),Augsburg
DEBY006,CO,2020,0.255,mg/m3,Traffic,Urban,BY,Augsburg (Kreisfreie Stadt),Augsburg
DEBY006,CO,2024,0.254,mg/m3,Traffic,Urban,BY,Augsburg (Kreisfreie Stadt),Augsburg
DEBW019,CO,2014,0.059,mg/m3,Background,Urban,BW,Ulm,Ulm
DEBY009,CO,2013,0.317,mg/m3,Background,Urban,BY,Bamberg (Kreisfreie Stadt),Bamberg
DEBW099,CO,2017,0.271,mg/m3,Traffic,Urban,BW,Stuttgart,Stuttgart
DEBW099,CO,2018,0.238,mg/m3,Traffic,Urban,BW,Stuttgart,Stuttgart
DEBY012,CO,2014,0.278,mg/m3,Background,Suburban,BY,Altötting,Burghausen
DEBY012,CO,2018,0.31,mg/m3,Background,Suburban,BY,Altötting,Burghausen
DEBY014,CO,2015,0.302,mg/m3,Traffic,Urban,BY,Coburg (Kreisfreie Stadt),Coburg
DEBW033,CO,2015,0.225,mg/m3,Background,Urban,BW,Pforzheim,Pforzheim
DEHB006,CO,2022,0.314,mg/m3,Traffic,Urban,HB,Bremen,Bremen
DEBY021,CO,2015,0.329,mg/m3,Traffic,Urban,BY,Ingolstadt,Ingolstadt
DEBW156,CO,2020,0.2,mg/m3,Traffic,Urban,BW,Rottweil,Schramberg
DEBW156,CO,2023,0.21,mg/m3,Traffic,Urban,BW,Rottweil,Schramberg
DEBW156,CO,2025,0.342,mg/m3,Traffic,Urban,BW,Rottweil,Schramberg
DEHB012,CO,2015,0.117,mg/m3,Background,Urban,HB,Bremen,Bremen
DEHB012,CO,2020,0.223,mg/m3,Background,Urban,HB,Bremen,Bremen
DEBY028,CO,2013,0.349,mg/m3,Traffic,Urban,BY,Kelheim,Kelheim
DEBY028,CO,2021,0.272,mg/m3,Traffic,Urban,BY,Kelheim,Kelheim
DEBY028,CO,2022,0.255,mg/m3,Traffic,Urban,BY,Kelheim,Kelheim
DEBW099,CO,2019,0.233,mg/m3,Traffic,Urban,BW,Stuttgart,Stuttgart
DEBW099,CO,2022,0.211,mg/m3,Traffic,Urban,BW,Stuttgart,Stuttgart
DEBW019,CO,2013,0.176,mg/m3,Background,Urban,BW,Ulm,Ulm
DEBW019,CO,2015,0.164,mg/m3,Background,Urban,BW,Ulm,Ulm
DEBY028,CO,2014,0.358,mg/m3,Traffic,Urban,BY,Kelheim,Kelheim
DEHB014,CO,2025,0.103,mg/m3,Traffic,Urban,HB,Bremen,Bremen
DEHE001,CO,2014,0.232,mg/m3,Background,Urban,HE,Darmstadt,Darmstadt
DEHE001,CO,2018,0.295,mg/m3,Background,Urban,HE,Darmstadt,Darmstadt
DEBW080,CO,2015,0.303,mg/m3,Traffic,Urban,BW,Karlsruhe (Stadtkreis),Karlsruhe
