City,State,Date,Linke,Gruene,SPD,FDP,CDU,AfD,Others
Celle,NI,2011,2.5,11.1,32.4,4.2,32.9,0,19.3
Cuxhaven,NI,2011,2.4,9.3,36.5,1.8,33.9,0,18.4
Geestland,NI,2011,1.6,7.3,33.2,0.5,46.3,0,12.7
Neu Wulmstorf,NI,2011,2.2,11.0,38.8,4.3,34.4,0,11.5
Seevetal,NI,2011,1.7,11.9,31.4,3.2,37.6,0,15.9
Winsen (Luhe),NI,2011,1.8,14.2,27.7,2.1,42.2,0,13.9
Lüneburg,NI,2011,4.9,29.3,32.3,3.3,22.7,0,12.4
Lilienthal,NI,2011,2.4,34.4,21.9,0,24.7,0,19.1
Osterholz-Scharmbeck,NI,2011,5.6,11.9,47.7,1.5,25.3,0,13.6
Schwanewede,NI,2011,2.1,12.5,40.5,2.4,30.6,0,14.0
Rotenburg (Wümme),NI,2011,1.9,18.7,33.6,2.8,35.1,0,9.8
Soltau,NI,2011,2.7,12.1,28.1,1.4,37.9,0,20.5
Walsrode,NI,2011,1.9,11.9,35.8,1.8,30.9,0,19.6
Buxtehude,NI,2011,3.1,19.2,36.7,4.0,29.4,0,10.7
Stade,NI,2011,2.3,13.7,37.7,2.2,33.8,0,12.5
Uelzen,NI,2011,0,15.1,36.9,1.3,35.4,0,11.3
Achim,NI,2011,2.0,18.3,37.9,2.7,33.0,0,8.0
Verden (Aller),NI,2011,1.8,12.9,43.4,5.0,35.1,0,3.6
Bad Zwischenahn,NI,2011,0,15.8,32.8,4.8,37.1,0,9.4
Edewecht,NI,2011,0,14.9,36.8,4.2,38.6,0,5.5
Rastede,NI,2011,0,14.5,32.3,3.3,45.2,0,4.7
Westerstede,NI,2011,0,13.5,25.8,15.8,34.1,0,10.8
Aurich,NI,2011,3.4,13.9,34.8,0.9,27.1,0,23.4
Norden,NI,2011,3.5,15.2,38.7,3.1,17.8,0,25.2
Cloppenburg,NI,2011,0.9,12.1,21.6,3.3,47.0,0,16.0
Friesoythe,NI,2011,0,4.4,34.5,0,61.1,0,0
Haren (Ems),NI,2011,0.9,0,21.5,1.8,72.0,0,4.8
Lingen (Ems),NI,2011,0,10.0,20.4,3.0,57.1,0,9.5
Meppen,NI,2011,0,9.0,24.5,3.0,51.5,0,12.1
Papenburg,NI,2011,2.4,11.1,19.4,7.2,43.2,0,19.1
Schortens,NI,2011,1.6,12.2,39.1,3.8,26.1,0,18.8
Varel,NI,2011,1.8,10.8,29.8,3.5,21.8,0,34.0
Nordhorn,NI,2011,1.6,11.3,41.4,2.1,34.4,0,10.9
Moormerland,NI,2011,2.2,13.6,49.8,1.9,32.5,0,2.2
Westoverledingen,NI,2011,3.4,11.4,48.1,2.3,30.7,0,7.6
Ganderkesee,NI,2011,0,16.8,34.4,6.8,31.4,0,10.5
Wildeshausen,NI,2011,2.5,11.0,29.7,6.6,30.3,0,22.4
Bramsche,NI,2011,2.7,15.2,45.0,2.1,31.6,0,6.2
Georgsmarienhütte,NI,2011,1.7,13.4,34.3,1.0,49.6,0,1.7
Melle,NI,2011,0,18.3,37.5,4.2,40.0,0,0
Wallenhorst,NI,2011,1.6,12.8,31.3,0,42.8,0,13.2
Lohne (Oldenburg),NI,2011,1.4,0,19.6,2.3,66.0,0,12.1
Vechta,NI,2011,0.8,5.8,25.9,2.5,61.1,0,4.7
Nordenham.Norden,NI,2011,4.0,11.0,46.8,6.6,25.5,0,10.1
Wittmund,NI,2011,1.6,5.8,34.6,1.8,52.1,0,5.7
Braunschweig,NI,2011,3.5,17.4,29.5,2.1,38.2,0,12.9
Salzgitter,NI,2011,4.0,9.4,44.5,1.8,32.0,0,12.3
Wolfsburg,NI,2011,0,9.9,37.7,2.4,31.6,0,18.4
Delmenhorst,NI,2011,3.5,14.7,33.3,4.3,25.8,0,21.9
Emden,NI,2011,3.2,15.4,51.5,8.6,21.3,0,3.2
Oldenburg,NI,2011,6.1,27.3,34.0,3.0,20.6,0,15.1
Osnabrück,NI,2011,3.4,20.9,29.9,4.6,35.2,0,9.4
Wilhelmshaven,NI,2011,2.9,14.2,32.1,3.0,33.4,0,17.3
Gifhorn,NI,2006,0,7.6,34.5,6.2,42.5,0,9.3
Bad Harzburg,NI,2006,0,8.5,38.4,6.9,35.0,0,11.3
Goslar,NI,2006,0,4.0,41.3,8.7,34.7,0,11.4
Helmstedt,NI,2006,0,3.9,38.0,8.5,33.6,0,16.1
Northeim,NI,2006,1.6,7.2,41.8,12.1,33.6,0,5.2
Einbeck,NI,2006,1.5,3.1,43.6,9.7,38.0,0,5.6
Peine,NI,2006,0,5.2,51.0,2.8,30.1,0,10.8
Ilsede,NI,2006,0,4.1,47.7,4.1,34.5,0,9.6
Wolfenbüttel,NI,2006,0,10.3,33.4,5.9,45.3,0,5.2
Duderstadt,NI,2006,0,3.5,18.5,4.7,65.4,0,7.9
Göttingen,NI,2006,0,20.8,34.8,8.8,28.2,0,7.4
Hann. Münden,NI,2006,2.0,7.0,46.2,3.2,37.4,0,6.2
Osterode am Harz,NI,2006,2.0,5.8,51.0,6.8,31.7,0,4.7
Hannover,NI,2006,0,13.6,41.0,6.6,30.8,0,8.0
Barsinghausen,NI,2006,0,11.2,39.2,11.0,38.0,0,0.6
Burgdorf,NI,2006,0,7.5,36.8,7.8,35.6,0,12.3
Burgwedel,NI,2006,0,5.3,26.9,9.2,49.0,0,9.7
Garbsen,NI,2006,0,7.0,40.1,5.6,39.1,0,8.2
Isernhagen,NI,2006,0,7.8,29.5,10.1,52.6,0,0
Laatzen,NI,2006,0,6.7,52.4,6.8,34.1,0,0
Langenhagen,NI,2006,0,10.2,44.3,6.0,38.9,0,0.6
Lehrte,NI,2006,0,7.5,42.6,5.8,37.5,0,6.5
Ronnenberg,NI,2006,0,12.3,43.5,6.7,37.4,0,0
Seelze,NI,2006,0,7.0,43.5,3.2,41.4,0,4.9
Sehnde,NI,2006,0,5.7,41.7,3.8,46.2,0,2.6
Springe,NI,2006,0,8.8,43.0,6.7,40.7,0,0.8
