City,Year,Air Quality Station Type,Index
Bad Waldsee,2001,Background,0.2154653465346534
Bad Waldsee,2002,Background,0.1957475247524752
Bad Waldsee,2003,Background,0.2537425742574257
Baden-Baden,1998,Background,0.214
Baden-Baden,1999,Background,0.2062475247524752
Baden-Baden,2000,Background,0.2044107883817427
Baden-Baden,2001,Background,0.1764128630705394
Baden-Baden,2002,Background,0.2527966804979252
Baden-Baden,2003,Background,0.1977249555423829
Baden-Baden,2004,Background,0.2314158415841584
Baden-Baden,2005,Background,0.1909751037344398
Baden-Baden,2006,Background,0.1667676348547718
Baden-Baden,2007,Background,0.2237128712871287
Baden-Baden,2008,Background,0.270980198019802
Baden-Baden,2009,Background,0.200058091286307
Baden-Baden,2010,Background,0.2348366336633663
Baden-Baden,2011,Background,0.2130497925311203
Baden-Baden,2012,Background,0.1656039603960395
Baden-Baden,2013,Background,0.1958423236514523
Baden-Baden,2014,Background,0.2492227722772277
Baden-Baden,2015,Background,0.19450622406639
Baden-Baden,2016,Background,0.2170331950207469
Baden-Baden,2017,Background,0.3333960396039604
Baden-Baden,2018,Background,0.261896265560166
Baden-Baden,2019,Background,0.1865145228215767
Baden-Baden,2020,Background,0.2195228215767634
Baden-Baden,2021,Background,0.227082508250825
Baden-Baden,2022,Background,0.2848962655601659
Baden-Baden,2023,Background,0.2088174273858921
Baden-Baden,2024,Background,0.1657219917012448
Baden-Baden,2025,Background,0.3325717821782177
Balingen,1998,Background,0.2621576763485477
Balingen,1999,Background,0.2677219917012448
Balingen,2000,Background,0.1899504950495049
Bassum,2001,Background,0.2525148514851485
Bassum,2002,Background,0.2571078838174274
Bassum,2003,Background,0.2212871287128713
Bassum,2004,Background,0.2256431535269709
Bautzen,2002,Background,0.3267722772277227
Bautzen,2003,Background,0.2753070539419087
Bautzen,2004,Background,0.212954356846473
Bautzen,2005,Background,0.2327722772277227
Bautzen,2006,Background,0.2021161825726141
Bautzen,2007,Background,0.2079405940594059
Bautzen,2008,Background,0.1872920792079208
Bautzen,2009,Background,0.240970297029703
Bautzen,2010,Background,0.2059253112033195
Bautzen,2011,Background,0.2073775933609958
Bautzen,2012,Background,0.1744232365145228
Bautzen,2013,Background,0.1938415841584158
Bautzen,2014,Background,0.1881701244813277
Bautzen,2015,Background,0.2698921161825726
Bautzen,2016,Background,0.2475346534653465
Bautzen,2017,Background,0.2122572614107884
Bautzen,2018,Background,0.2451584158415841
Bautzen,2019,Background,0.1942697095435684
Bautzen,2020,Background,0.2700331950207469
Bautzen,2021,Background,0.2387722772277227
Bautzen,2022,Background,0.2227029702970296
Bautzen,2023,Background,0.2031188118811881
Bautzen,2024,Background,0.2355560165975103
Bautzen,2025,Background,0.2588217821782178
Bebra,2000,Background,0.2889108910891089
Bebra,2001,Background,0.2700248962655601
Bebra,2002,Background,0.2066732673267326
Bebra,2003,Background,0.1989253112033195
Bebra,2004,Background,0.224019801980198
Bebra,2005,Background,0.1733983402489626
Bebra,2006,Background,0.1928340248962655
Bebra,2007,Background,0.1611618257261411
Bebra,2008,Background,0.215655601659751
Bebra,2009,Background,0.2001120331950207
Bebra,2010,Background,0.1800995850622407
Bebra,2011,Background,0.2641435643564356
Bebra,2012,Background,0.1830373443983402
Bebra,2013,Background,0.2751287128712871
Bebra,2014,Background,0.2295049504950495
Bebra,2015,Background,0.19701244813278
Bebra,2016,Background,0.1743153526970954
Bebra,2017,Background,0.2930331950207469
Bebra,2018,Background,0.2419253112033195
Bebra,2019,Background,0.2357920792079208
Bebra,2020,Background,0.2148910891089109
Bebra,2021,Background,0.211655601659751
Bebra,2022,Background,0.2016639004149377
Bebra,2023,Background,0.2199128630705394
Bebra,2024,Background,0.2063879668049792
Bebra,2025,Background,0.2231683168316831
Bergen auf Rügen,2015,Background,0.2008672199170124
Bergen auf Rügen,2016,Background,0.2292365145228216
Bergen auf Rügen,2017,Background,0.2418712871287128
Bergen auf Rügen,2018,Background,0.2191161825726141
Bergen auf Rügen,2019,Background,0.2952365145228215
Bergen auf Rügen,2020,Background,0.188207468879668
Bergen auf Rügen,2021,Background,0.2385148514851485
Bergen auf Rügen,2022,Background,0.220804979253112
Bergen auf Rügen,2023,Background,0.2562772277227723
Bergen auf Rügen,2024,Background,0.2849792531120332
Bergen auf Rügen,2025,Background,0.1810041493775933
Berlin,1998,Traffic,0.1950660066006601
Berlin,1998,Background,0.2118423236514522
Berlin,1999,Traffic,0.2286473029045643
Berlin,1999,Background,0.1855544554455445
Berlin,2000,Traffic,0.2344605809128631
Berlin,2000,Background,0.2491287128712871
Berlin,2001,Background,0.2421287128712871
Berlin,2001,Industrial,0.1977821782178217
Berlin,2001,Traffic,0.2378962655601659
Berlin,2002,Traffic,0.2246633663366336
Berlin,2002,Background,0.2967722772277227
Berlin,2002,Industrial,0.2005892116182572
Berlin,2003,Traffic,0.2216721991701244
Berlin,2003,Background,0.2502780082987552
Berlin,2003,Industrial,0.2099585062240664
Berlin,2004,Industrial,0.2110995850622406
Berlin,2004,Traffic,0.5334059405940594
Berlin,2004,Background,0.2765477178423236
Berlin,2005,Traffic,0.1622475247524752
Berlin,2005,Background,0.2171493775933609
Berlin,2005,Industrial,0.2332475247524752
Berlin,2006,Background,0.260589108910891
Berlin,2006,Industrial,0.223029702970297
Berlin,2007,Background,0.1622863070539419
Berlin,2007,Industrial,0.2391452282157676
Berlin,2008,Background,0.2669751037344398
Berlin,2008,Industrial,0.2243613861386138
Berlin,2009,Background,0.2596386138613861
Berlin,2009,Industrial,0.2227326732673267
Berlin,2010,Background,0.3166970954356846
Berlin,2010,Industrial,0.2295049504950495
Berlin,2011,Background,0.2822178217821782
Berlin,2011,Industrial,0.2053236514522821
Berlin,2012,Background,0.2078506224066389
Berlin,2013,Background,0.3389702970297029
Berlin,2014,Background,0.2006058091286306
Berlin,2015,Background,0.1582524752475247
Berlin,2016,Background,0.2215020746887966
Berlin,2017,Background,0.2128415841584158
Berlin,2018,Traffic,0.2069958506224066
Berlin,2018,Background,0.2073168316831683
Berlin,2019,Background,0.2187800829875518
Berlin,2019,Traffic,0.2521386138613861
Berlin,2020,Traffic,0.2158547717842323
Berlin,2020,Background,0.2507821782178217
Berlin,2021,Background,0.2111089108910891
Berlin,2021,Traffic,0.1881584158415841
Berlin,2022,Traffic,0.2197326732673267
Berlin,2022,Background,0.2492871287128713
Berlin,2023,Traffic,0.2536930693069307
Berlin,2023,Background,0.2284653465346534
Berlin,2024,Traffic,0.2237759336099585
Berlin,2024,Background,0.2269917012448132
Bernburg (Saale),2002,Traffic,0.1925145228215767
Bernburg (Saale),2003,Traffic,0.2298672199170124
Bernburg (Saale),2004,Traffic,0.1854896265560166
Bernburg (Saale),2005,Traffic,0.2828019801980198
Biberach an der Riß,1998,Background,0.1762323651452282
Biberach an der Riß,1999,Background,0.2129585062240664
Biberach an der Riß,2000,Background,0.272344398340249
Biberach an der Riß,2001,Background,0.2149365737996443
Biberach an der Riß,2002,Background,0.2313900414937759
Biberach an der Riß,2003,Background,0.1945643153526971
Biberach an der Riß,2004,Background,0.218460580912863
Biberach an der Riß,2005,Background,0.2226763485477178
Biberach an der Riß,2006,Background,0.2520456431535269
Biberach an der Riß,2007,Background,0.1941188118811881
Biberach an der Riß,2008,Background,0.201414937759336
Biberach an der Riß,2009,Background,0.2840912863070539
Biberach an der Riß,2010,Background,0.2213153526970954
Biberach an der Riß,2011,Background,0.1758613861386138
Biberach an der Riß,2012,Background,0.2374653465346534
Biberach an der Riß,2013,Background,0.187039603960396
Biberach an der Riß,2014,Background,0.2355445544554455
Biberach an der Riß,2015,Background,0.2250954356846473
Biberach an der Riß,2016,Background,0.2643663366336634
Biberach an der Riß,2017,Background,0.2754688796680498
Biberach an der Riß,2018,Background,0.220804979253112
Biberach an der Riß,2019,Background,0.241044776119403
Biberach an der Riß,2020,Background,0.2403443983402489
Biberach an der Riß,2021,Background,0.2281980198019802
Biberach an der Riß,2022,Background,0.1733983402489626
Biberach an der Riß,2023,Background,0.198149377593361
Biberach an der Riß,2024,Background,0.2007128712871287
Biberach an der Riß,2025,Background,0.2862655601659751
Bielefeld,2002,Background,0.2426224066390041
Bielefeld,2003,Background,0.2698547717842323
Bielefeld,2004,Background,0.2879626556016597
Bielefeld,2005,Background,0.2619504950495049
Bielefeld,2006,Background,0.1907079207920791
Bielefeld,2007,Background,0.3931980198019802
Bielefeld,2008,Background,0.219253112033195
Bielefeld,2009,Background,0.1803858921161825
Bielefeld,2010,Background,0.1905809128630705
Bielefeld,2011,Background,0.2023817427385892
Bielefeld,2012,Background,0.2047966804979253
Bielefeld,2013,Background,0.2409045643153527
Bielefeld,2014,Background,0.1682157676348547
Bielefeld,2015,Background,0.2574851485148515
Bielefeld,2016,Background,0.2274647302904564
Bielefeld,2017,Background,0.2248008298755186
Bielefeld,2018,Background,0.248059405940594
Bielefeld,2019,Background,0.1978340248962655
Bielefeld,2020,Background,0.198049504950495
Bielefeld,2021,Background,0.1946680497925311
Bielefeld,2022,Background,0.2444937759336099
Bielefeld,2023,Background,0.1822277227722772
Bielefeld,2024,Background,0.2105892116182572
Bielefeld,2025,Background,0.3898910891089108
Birkenfeld,2000,Background,0.208039603960396
Birkenfeld,2001,Background,0.1923663366336634
Birkenfeld,2002,Background,0.1929336099585062
Birkenfeld,2003,Background,0.2603663366336634
Birkenfeld,2004,Background,0.205551867219917
Birkenfeld,2005,Background,0.2348215767634854
Birkenfeld,2006,Background,0.2625693069306931
Birkenfeld,2007,Background,0.2452614107883817
Birkenfeld,2008,Background,0.3416930693069307
Birkenfeld,2009,Background,0.2183366336633663
Birkenfeld,2010,Background,0.2537053941908713
Birkenfeld,2011,Background,0.2314950495049505
Birkenfeld,2012,Background,0.2441353135313531
Birkenfeld,2013,Background,0.2034315352697095
Birkenfeld,2014,Background,0.2266597510373444
Birkenfeld,2015,Background,0.185207468879668
Birkenfeld,2016,Background,0.2455435684647303
Birkenfeld,2017,Background,0.1971784232365145
Birkenfeld,2018,Background,0.2294950495049504
Birkenfeld,2019,Background,0.2857623762376237
Birkenfeld,2020,Background,0.2148712871287129
Birkenfeld,2021,Background,0.1747623762376237
Birkenfeld,2022,Background,0.2195767634854771
Birkenfeld,2023,Background,0.2114059405940594
Birkenfeld,2024,Background,0.2257524752475247
Birkenfeld,2025,Background,0.1875544554455445
Bitterfeld-Wolfen,2000,Background,0.2329702970297029
Bitterfeld-Wolfen,2001,Background,0.4582574257425742
Bitterfeld-Wolfen,2001,Industrial,0.1986680497925311
Bitterfeld-Wolfen,2002,Background,0.1666970954356846
Bitterfeld-Wolfen,2002,Industrial,0.1971576763485477
Bitterfeld-Wolfen,2003,Industrial,0.2283114311431143
Bitterfeld-Wolfen,2003,Background,0.205701244813278
Bitterfeld-Wolfen,2004,Background,0.2286846473029045
Bitterfeld-Wolfen,2004,Industrial,0.2124937759336099
Bitterfeld-Wolfen,2005,Industrial,0.2420912863070539
Bitterfeld-Wolfen,2006,Industrial,0.2456534653465346
Bitterfeld-Wolfen,2007,Industrial,0.2736138613861386
Bitterfeld-Wolfen,2008,Industrial,0.2134277227722772
Bitterfeld-Wolfen,2009,Industrial,0.1958464730290456
Bitterfeld-Wolfen,2010,Industrial,0.258009900990099
Bitterfeld-Wolfen,2011,Industrial,0.2643692946058091
Bitterfeld-Wolfen,2012,Industrial,0.2510456431535269
Bitterfeld-Wolfen,2013,Industrial,0.1889709543568465
Bitterfeld-Wolfen,2014,Industrial,0.3062970297029703
Bitterfeld-Wolfen,2015,Industrial,0.2033135313531353
Bitterfeld-Wolfen,2016,Industrial,0.2069668049792531
Bitterfeld-Wolfen,2017,Industrial,0.2474257425742574
Bitterfeld-Wolfen,2018,Industrial,0.2325186721991701
Bitterfeld-Wolfen,2019,Industrial,0.2947261410788381
Bitterfeld-Wolfen,2020,Industrial,0.1896763485477178
Bitterfeld-Wolfen,2021,Industrial,0.2555892116182572
Bitterfeld-Wolfen,2022,Industrial,0.4493366336633663
Bitterfeld-Wolfen,2023,Industrial,0.2003609958506224
Bitterfeld-Wolfen,2024,Industrial,0.2463564356435643
Bitterfeld-Wolfen,2025,Industrial,0.290940594059406
Blankenfelde-Mahlow,2013,Background,0.1806182572614108
Blankenfelde-Mahlow,2014,Background,0.2032863070539419
Blankenfelde-Mahlow,2015,Background,0.268649377593361
Blankenfelde-Mahlow,2016,Background,0.2755684647302905
Blankenfelde-Mahlow,2017,Background,0.2051244813278008
