Air Quality Station EoI Code,Date,Air Pollution Level,City,Air Quality Station Type,Linke,Gruene,SPD,FDP,CDU,AfD,Change
DEBW013,2009,20.0755,Stuttgart,Background,0.0,26.666666666666668,16.666666666666664,11.666666666666666,25.0,0.0,-0.245000000000001
DEBW013,2014,19.8305,Stuttgart,Background,0.0,23.33333333333333,15.0,6.666666666666667,28.33333333333333,0.0,-4.2059999999999995
DEBW013,2019,15.624500000000001,Stuttgart,Background,5.0,26.666666666666668,11.666666666666666,8.333333333333332,18.33333333333333,6.666666666666667,-2.41
DEBW015,1999,25.476,Heilbronn,Traffic,0.0,5.0,30.0,10.0,42.5,0.0,0.4344999999999999
DEBW015,2004,25.9105,Heilbronn,Traffic,0.0,7.5,30.0,10.0,40.0,0.0,-2.557500000000001
DEBW015,2009,23.352999999999998,Heilbronn,Traffic,0.0,10.0,27.500000000000004,12.5,35.0,0.0,-5.070999999999998
DEBW015,2014,18.282,Heilbronn,Background,0.0,12.5,27.500000000000004,10.0,30.0,0.0,-0.25299999999999656
DEBW015,2019,18.029000000000003,Heilbronn,Background,5.0,20.0,20.0,10.0,22.5,10.0,-3.7190000000000047
DEBW019,1999,23.828,Ulm,Background,0.0,10.0,27.500000000000004,2.5,32.5,0.0,-0.5549999999999997
DEBW019,2004,23.273,Ulm,Background,0.0,17.5,22.5,5.0,30.0,0.0,-3.149000000000001
DEBW019,2009,20.124,Ulm,Background,0.0,17.5,20.0,7.5,25.0,0.0,-1.8974999999999973
DEBW019,2014,18.2265,Ulm,Background,0.0,17.5,20.0,5.0,22.5,0.0,-2.9060000000000024
DEBW019,2019,15.3205,Ulm,Background,5.0,25.0,12.5,5.0,15.0,2.5,-1.4929999999999986
DEBW020,1999,21.614,Rastatt,Background,0.0,0.0,33.33333333333333,4.444444444444445,44.44444444444444,0.0,3.1359999999999992
DEBW021,1999,22.862,Kehl,Background,0.0,7.6923076923076925,30.76923076923077,7.6923076923076925,34.61538461538461,0.0,0.834500000000002
DEBW022,2004,22.822,Kehl,Industrial,0.0,7.6923076923076925,23.07692307692308,7.6923076923076925,34.61538461538461,0.0,-1.1530000000000022
DEBW022,2009,21.668999999999997,Kehl,Industrial,0.0,7.6923076923076925,23.07692307692308,11.538461538461538,26.923076923076923,0.0,-2.765499999999996
DEBW022,2014,18.9035,Kehl,Industrial,0.0,11.538461538461538,26.923076923076923,3.8461538461538463,26.923076923076923,0.0,-3.1075000000000017
DEBW022,2019,15.796,Kehl,Industrial,0.0,19.230769230769237,23.07692307692308,7.6923076923076925,19.230769230769237,7.6923076923076925,-2.7379999999999995
DEBW023,1999,19.707,Weil am Rhein,Background,0.0,3.7037037037037033,25.925925925925924,0.0,29.629629629629623,0.0,2.7554999999999943
