Berechnungsdatum;Ausgabe;Kreis;Kreisname;Amt;Amtsname;Gemeinde;Gemeindename;Wahlbezirke insg.;Erf. Wahlbezirke;Wahlberechtigte;W�hler;Wahlbeteiligung;Ung�ltige Stimmen;Gültige Stimmen;CDU;DIE LINKE;SPD;AfD;GRÜNE;FDP;FREIE W�HLER;HEIMAT;Die PARTEI;Tierschutzpartei;PIRATEN;B�ndnis C;DKP;A: SAHRA;ASK;Aktive Vorpommern;AWD;ABLR;AfL;dieBasis;BFW;B�NDNIS DEUTSCHLAND;B�ndnis Ducherow;BBM;BSW;BfB;BkW;B�rger f�r Stralsund;BVR;BB;BB NWM;BL;Cannabis und B�rgerrechte;Die Unabh�ngigen;Freier Horizont VG;Freier Horizont LUP;FREIER HORIZONT MSE;Freier Horizont HRO;Freier Horizlucaslorentzont LRO;F�r R�gen;Graue Rostock;IBG;IZ;kus;K-I;LfK;Rostocker Bund;UB;UFR;Volt;VAH;WGLR;LUL;WG Sozial;WGU;W�hlergemeinschaft Wittenhagen;W�hlergruppe Adomeit;WGP;Heimat und Identit�t;WLD;Einzelbewerber
18.06.2024 15:52:00;P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071096;Meesiger;1;1;209;168;80,4;0,0;100,0;25,5;3,2;7,7;31,5;2,4;2,4;4,6;0,8;x;x;x;x;x;x;x;x;x;x;x;0,0;x;x;x;x;16,0;x;x;x;x;x;x;x;0,6;x;x;x;1,2;x;x;x;x;x;x;x;x;x;x;x;x;x;x;3,8;x;x;x;x;x;x;x;x;0,2
18.06.2024 15:52:00;A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071112;Nossendorf;1;1;570;408;71,6;11;1178;251;23;68;590;21;12;69;4;x;x;x;x;x;x;x;x;x;x;x;0;x;x;x;x;82;x;x;x;x;x;x;x;5;x;x;x;8;x;x;x;x;x;x;x;x;x;x;x;x;x;x;44;x;x;x;x;x;x;x;x;1
18.06.2024 15:52:00;P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071112;Nossendorf;1;1;570;408;71,6;0,9;99,1;21,3;2,0;5,8;50,1;1,8;1,0;5,9;0,3;x;x;x;x;x;x;x;x;x;x;x;0,0;x;x;x;x;7,0;x;x;x;x;x;x;x;0,4;x;x;x;0,7;x;x;x;x;x;x;x;x;x;x;x;x;x;x;3,7;x;x;x;x;x;x;x;x;0,1
18.06.2024 15:52:00;A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071128;Sarow;1;1;613;423;69,0;36;1213;316;54;106;388;15;19;65;8;x;x;x;x;x;x;x;x;x;x;x;8;x;x;x;x;140;x;x;x;x;x;x;x;10;x;x;x;42;x;x;x;x;x;x;x;x;x;x;x;x;x;x;38;x;x;x;x;x;x;x;x;4
18.06.2024 15:52:00;P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071128;Sarow;1;1;613;423;69,0;2,9;97,1;26,1;4,5;8,7;32,0;1,2;1,6;5,4;0,7;x;x;x;x;x;x;x;x;x;x;x;0,7;x;x;x;x;11,5;x;x;x;x;x;x;x;0,8;x;x;x;3,5;x;x;x;x;x;x;x;x;x;x;x;x;x;x;3,1;x;x;x;x;x;x;x;x;0,3
18.06.2024 15:52:00;A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071131;Sch�nfeld;1;1;312;258;82,7;12;760;171;50;47;227;20;14;62;8;x;x;x;x;x;x;x;x;x;x;x;12;x;x;x;x;122;x;x;x;x;x;x;x;8;x;x;x;11;x;x;x;x;x;x;x;x;x;x;x;x;x;x;8;x;x;x;x;x;x;x;x;0
18.06.2024 15:52:00;P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071131;Sch�nfeld;1;1;312;258;82,7;1,6;98,4;22,5;6,6;6,2;29,9;2,6;1,8;8,2;1,1;x;x;x;x;x;x;x;x;x;x;x;1,6;x;x;x;x;16,1;x;x;x;x;x;x;x;1,1;x;x;x;1,4;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1,1;x;x;x;x;x;x;x;x;0,0
18.06.2024 15:52:00;A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071136;Siedenbr�nzow;1;1;391;280;71,6;9;822;180;71;39;353;13;5;50;2;x;x;x;x;x;x;x;x;x;x;x;4;x;x;x;x;82;x;x;x;x;x;x;x;1;x;x;x;5;x;x;x;x;x;x;x;x;x;x;x;x;x;x;16;x;x;x;x;x;x;x;x;1
18.06.2024 15:52:00;P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071136;Siedenbr�nzow;1;1;391;280;71,6;1,1;98,9;21,9;8,6;4,7;42,9;1,6;0,6;6,1;0,2;x;x;x;x;x;x;x;x;x;x;x;0,5;x;x;x;x;10,0;x;x;x;x;x;x;x;0,1;x;x;x;0,6;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1,9;x;x;x;x;x;x;x;x;0,1
18.06.2024 15:52:00;A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071139;Sommersdorf;1;1;223;170;76,2;6;500;151;29;28;122;13;27;33;1;x;x;x;x;x;x;x;x;x;x;x;0;x;x;x;x;79;x;x;x;x;x;x;x;5;x;x;x;4;x;x;x;x;x;x;x;x;x;x;x;x;x;x;8;x;x;x;x;x;x;x;x;0
18.06.2024 15:52:00;P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071139;Sommersdorf;1;1;223;170;76,2;1,2;98,8;30,2;5,8;5,6;24,4;2,6;5,4;6,6;0,2;x;x;x;x;x;x;x;x;x;x;x;0,0;x;x;x;x;15,8;x;x;x;x;x;x;x;1,0;x;x;x;0,8;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1,6;x;x;x;x;x;x;x;x;0,0
18.06.2024 15:52:00;A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071148;Utzedel;1;1;366;231;63,1;3;676;242;35;32;197;4;6;49;1;x;x;x;x;x;x;x;x;x;x;x;12;x;x;x;x;74;x;x;x;x;x;x;x;4;x;x;x;6;x;x;x;x;x;x;x;x;x;x;x;x;x;x;12;x;x;x;x;x;x;x;x;2
18.06.2024 15:52:00;P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071148;Utzedel;1;1;366;231;63,1;0,4;99,6;35,8;5,2;4,7;29,1;0,6;0,9;7,2;0,1;x;x;x;x;x;x;x;x;x;x;x;1,8;x;x;x;x;10,9;x;x;x;x;x;x;x;0,6;x;x;x;0,9;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1,8;x;x;x;x;x;x;x;x;0,3
18.06.2024 15:52:00;A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071150;Verchen;1;1;339;254;74,9;12;740;229;50;99;213;8;13;28;0;x;x;x;x;x;x;x;x;x;x;x;8;x;x;x;x;78;x;x;x;x;x;x;x;0;x;x;x;5;x;x;x;x;x;x;x;x;x;x;x;x;x;x;8;x;x;x;x;x;x;x;x;1
18.06.2024 15:52:00;P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071150;Verchen;1;1;339;254;74,9;1,6;98,4;30,9;6,8;13,4;28,8;1,1;1,8;3,8;0,0;x;x;x;x;x;x;x;x;x;x;x;1,1;x;x;x;x;10,5;x;x;x;x;x;x;x;0,0;x;x;x;0,7;x;x;x;x;x;x;x;x;x;x;x;x;x;x;1,1;x;x;x;x;x;x;x;x;0,1
18.06.2024 15:52:00;A;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071157;Warrenzin;1;1;328;245;74,7;19;702;156;23;32;311;6;3;75;0;x;x;x;x;x;x;x;x;x;x;x;3;x;x;x;x;52;x;x;x;x;x;x;x;1;x;x;x;21;x;x;x;x;x;x;x;x;x;x;x;x;x;x;19;x;x;x;x;x;x;x;x;0
18.06.2024 15:52:00;P;71;Mecklenburgische Seenplatte;5151;Demmin-Land;13071157;Warrenzin;1;1;328;245;74,7;2,6;97,4;22,2;3,3;4,6;44,3;0,9;0,4;10,7;0,0;x;x;x;x;x;x;x;x;x;x;x;0,4;x;x;x;x;7,4;x;x;x;x;x;x;x;0,1;x;x;x;3,0;x;x;x;x;x;x;x;x;x;x;x;x;x;x;2,7;x;x;x;x;x;x;x;x;0,0
