City,Year,Index
Marburg,2024,0.2426224066390041
Marburg,2025,0.2175643153526971
Meiningen,2022,0.2136390041493776
Meiningen,2023,0.2229215686274509
Meiningen,2024,0.2069460580912863
Meiningen,2025,0.3262655601659751
Michelstadt,2023,0.2166016597510373
Michelstadt,2024,0.3493153526970954
Michelstadt,2025,0.253156862745098
Montabaur,2008,0.241
Märkische Schweiz,2007,0.2317842323651452
Märkische Schweiz,2008,0.2091960784313725
Märkische Schweiz,2009,0.3094117647058823
Märkische Schweiz,2010,0.2352821576763485
Märkische Schweiz,2011,0.1720392156862745
Märkische Schweiz,2012,0.2376058091286307
Märkische Schweiz,2013,0.1926176470588235
Märkische Schweiz,2014,0.3118921161825726
Märkische Schweiz,2015,0.2571908713692946
Märkische Schweiz,2016,0.2440331950207468
Märkische Schweiz,2017,0.2036763485477178
Märkische Schweiz,2018,0.2331369294605809
Märkische Schweiz,2019,0.2765477178423236
Märkische Schweiz,2020,0.2934313725490196
Märkische Schweiz,2021,0.1987925311203319
Märkische Schweiz,2022,0.2098672199170124
Märkische Schweiz,2023,0.3058823529411764
Märkische Schweiz,2024,0.2316307053941908
Märkische Schweiz,2025,0.2877883817427386
Mönchengladbach,2010,0.1986307053941908
Mönchengladbach,2011,0.3300588235294117
Mönchengladbach,2012,0.2129211618257261
Mönchengladbach,2013,0.2728823529411765
Mönchengladbach,2014,0.295078431372549
Mönchengladbach,2015,0.2322655601659751
Mönchengladbach,2016,0.2435601659751037
Mönchengladbach,2017,0.3105882352941176
Mönchengladbach,2018,0.2269917012448132
Mönchengladbach,2019,0.3320882352941176
Mönchengladbach,2020,0.2033858921161825
Mönchengladbach,2021,0.2037058823529411
Mönchengladbach,2022,0.1682745098039215
Mönchengladbach,2023,0.2950331950207469
Mönchengladbach,2024,0.2020392156862745
Mönchengladbach,2025,0.2224901960784313
Mörfelden-Walldorf,2021,0.2218091286307054
Mörfelden-Walldorf,2022,0.1907136929460581
Mühlhausen/Thüringen,2019,0.2022655601659751
Mühlhausen/Thüringen,2020,0.2444813278008298
